# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680638937539508 115100 MANAGER START
1680638937543296 115100 CATEGORY default MAX {}
1680638937543312 115100 CATEGORY default MIN {}
1680638937543320 115100 CATEGORY default FIRST EXHAUSTIVE_BUCKETING {}
1680638937543408 115100 TASK 1 WAITING default FIRST_RESOURCES {}
1680638937543445 115100 TASK 2 WAITING default FIRST_RESOURCES {}
1680638937543471 115100 TASK 3 WAITING default FIRST_RESOURCES {}
1680638937543498 115100 TASK 4 WAITING default FIRST_RESOURCES {}
1680638937543525 115100 TASK 5 WAITING default FIRST_RESOURCES {}
1680638937543550 115100 TASK 6 WAITING default FIRST_RESOURCES {}
1680638937543576 115100 TASK 7 WAITING default FIRST_RESOURCES {}
1680638937543600 115100 TASK 8 WAITING default FIRST_RESOURCES {}
1680638937543634 115100 TASK 9 WAITING default FIRST_RESOURCES {}
1680638937543671 115100 TASK 10 WAITING default FIRST_RESOURCES {}
1680638937543698 115100 TASK 11 WAITING default FIRST_RESOURCES {}
1680638937543723 115100 TASK 12 WAITING default FIRST_RESOURCES {}
1680638937543750 115100 TASK 13 WAITING default FIRST_RESOURCES {}
1680638937543778 115100 TASK 14 WAITING default FIRST_RESOURCES {}
1680638937543802 115100 TASK 15 WAITING default FIRST_RESOURCES {}
1680638937543829 115100 TASK 16 WAITING default FIRST_RESOURCES {}
1680638937543854 115100 TASK 17 WAITING default FIRST_RESOURCES {}
1680638937543878 115100 TASK 18 WAITING default FIRST_RESOURCES {}
1680638937543902 115100 TASK 19 WAITING default FIRST_RESOURCES {}
1680638937543929 115100 TASK 20 WAITING default FIRST_RESOURCES {}
1680638937543957 115100 TASK 21 WAITING default FIRST_RESOURCES {}
1680638937543985 115100 TASK 22 WAITING default FIRST_RESOURCES {}
1680638937544009 115100 TASK 23 WAITING default FIRST_RESOURCES {}
1680638937544036 115100 TASK 24 WAITING default FIRST_RESOURCES {}
1680638937544063 115100 TASK 25 WAITING default FIRST_RESOURCES {}
1680638937544091 115100 TASK 26 WAITING default FIRST_RESOURCES {}
1680638937544115 115100 TASK 27 WAITING default FIRST_RESOURCES {}
1680638937544139 115100 TASK 28 WAITING default FIRST_RESOURCES {}
1680638937544164 115100 TASK 29 WAITING default FIRST_RESOURCES {}
1680638937544191 115100 TASK 30 WAITING default FIRST_RESOURCES {}
1680638937544215 115100 TASK 31 WAITING default FIRST_RESOURCES {}
1680638937544242 115100 TASK 32 WAITING default FIRST_RESOURCES {}
1680638937544268 115100 TASK 33 WAITING default FIRST_RESOURCES {}
1680638937544294 115100 TASK 34 WAITING default FIRST_RESOURCES {}
1680638937544318 115100 TASK 35 WAITING default FIRST_RESOURCES {}
1680638937544344 115100 TASK 36 WAITING default FIRST_RESOURCES {}
1680638937544371 115100 TASK 37 WAITING default FIRST_RESOURCES {}
1680638937544395 115100 TASK 38 WAITING default FIRST_RESOURCES {}
1680638937544419 115100 TASK 39 WAITING default FIRST_RESOURCES {}
1680638937544444 115100 TASK 40 WAITING default FIRST_RESOURCES {}
1680638937544482 115100 TASK 41 WAITING default FIRST_RESOURCES {}
1680638937544511 115100 TASK 42 WAITING default FIRST_RESOURCES {}
1680638937544543 115100 TASK 43 WAITING default FIRST_RESOURCES {}
1680638937544575 115100 TASK 44 WAITING default FIRST_RESOURCES {}
1680638937544603 115100 TASK 45 WAITING default FIRST_RESOURCES {}
1680638937544635 115100 TASK 46 WAITING default FIRST_RESOURCES {}
1680638937544660 115100 TASK 47 WAITING default FIRST_RESOURCES {}
1680638937544697 115100 TASK 48 WAITING default FIRST_RESOURCES {}
1680638937544724 115100 TASK 49 WAITING default FIRST_RESOURCES {}
1680638937544765 115100 TASK 50 WAITING default FIRST_RESOURCES {}
1680638937544796 115100 TASK 51 WAITING default FIRST_RESOURCES {}
1680638937544824 115100 TASK 52 WAITING default FIRST_RESOURCES {}
1680638937544851 115100 TASK 53 WAITING default FIRST_RESOURCES {}
1680638937544875 115100 TASK 54 WAITING default FIRST_RESOURCES {}
1680638937544901 115100 TASK 55 WAITING default FIRST_RESOURCES {}
1680638937544927 115100 TASK 56 WAITING default FIRST_RESOURCES {}
1680638937544953 115100 TASK 57 WAITING default FIRST_RESOURCES {}
1680638937544978 115100 TASK 58 WAITING default FIRST_RESOURCES {}
1680638937545004 115100 TASK 59 WAITING default FIRST_RESOURCES {}
1680638937545029 115100 TASK 60 WAITING default FIRST_RESOURCES {}
1680638937545054 115100 TASK 61 WAITING default FIRST_RESOURCES {}
1680638937545086 115100 TASK 62 WAITING default FIRST_RESOURCES {}
1680638937545115 115100 TASK 63 WAITING default FIRST_RESOURCES {}
1680638937545142 115100 TASK 64 WAITING default FIRST_RESOURCES {}
1680638937545169 115100 TASK 65 WAITING default FIRST_RESOURCES {}
1680638937545193 115100 TASK 66 WAITING default FIRST_RESOURCES {}
1680638937545220 115100 TASK 67 WAITING default FIRST_RESOURCES {}
1680638937545248 115100 TASK 68 WAITING default FIRST_RESOURCES {}
1680638937545275 115100 TASK 69 WAITING default FIRST_RESOURCES {}
1680638937545300 115100 TASK 70 WAITING default FIRST_RESOURCES {}
1680638937545324 115100 TASK 71 WAITING default FIRST_RESOURCES {}
1680638937545350 115100 TASK 72 WAITING default FIRST_RESOURCES {}
1680638937545377 115100 TASK 73 WAITING default FIRST_RESOURCES {}
1680638937545402 115100 TASK 74 WAITING default FIRST_RESOURCES {}
1680638937545429 115100 TASK 75 WAITING default FIRST_RESOURCES {}
1680638937545455 115100 TASK 76 WAITING default FIRST_RESOURCES {}
