# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680634608145741 108464 MANAGER START
1680634608178952 108464 CATEGORY default MAX {}
1680634608178969 108464 CATEGORY default MIN {}
1680634608178976 108464 CATEGORY default FIRST GREEDY_BUCKETING {}
1680634608179072 108464 TASK 1 WAITING default FIRST_RESOURCES {}
1680634608179129 108464 TASK 2 WAITING default FIRST_RESOURCES {}
1680634608179164 108464 TASK 3 WAITING default FIRST_RESOURCES {}
1680634608179190 108464 TASK 4 WAITING default FIRST_RESOURCES {}
1680634608179215 108464 TASK 5 WAITING default FIRST_RESOURCES {}
1680634608179239 108464 TASK 6 WAITING default FIRST_RESOURCES {}
1680634608179263 108464 TASK 7 WAITING default FIRST_RESOURCES {}
1680634608179287 108464 TASK 8 WAITING default FIRST_RESOURCES {}
1680634608179312 108464 TASK 9 WAITING default FIRST_RESOURCES {}
1680634608179337 108464 TASK 10 WAITING default FIRST_RESOURCES {}
1680634608179363 108464 TASK 11 WAITING default FIRST_RESOURCES {}
1680634608179387 108464 TASK 12 WAITING default FIRST_RESOURCES {}
1680634608179412 108464 TASK 13 WAITING default FIRST_RESOURCES {}
1680634608179437 108464 TASK 14 WAITING default FIRST_RESOURCES {}
1680634608179470 108464 TASK 15 WAITING default FIRST_RESOURCES {}
1680634608179495 108464 TASK 16 WAITING default FIRST_RESOURCES {}
1680634608179527 108464 TASK 17 WAITING default FIRST_RESOURCES {}
1680634608179549 108464 TASK 18 WAITING default FIRST_RESOURCES {}
1680634608179571 108464 TASK 19 WAITING default FIRST_RESOURCES {}
1680634608179605 108464 TASK 20 WAITING default FIRST_RESOURCES {}
1680634608179647 108464 TASK 21 WAITING default FIRST_RESOURCES {}
1680634608179685 108464 TASK 22 WAITING default FIRST_RESOURCES {}
1680634608179709 108464 TASK 23 WAITING default FIRST_RESOURCES {}
1680634608179735 108464 TASK 24 WAITING default FIRST_RESOURCES {}
1680634608179761 108464 TASK 25 WAITING default FIRST_RESOURCES {}
1680634608179787 108464 TASK 26 WAITING default FIRST_RESOURCES {}
1680634608179811 108464 TASK 27 WAITING default FIRST_RESOURCES {}
1680634608179835 108464 TASK 28 WAITING default FIRST_RESOURCES {}
1680634608179859 108464 TASK 29 WAITING default FIRST_RESOURCES {}
1680634608179897 108464 TASK 30 WAITING default FIRST_RESOURCES {}
1680634608179930 108464 TASK 31 WAITING default FIRST_RESOURCES {}
1680634608179974 108464 TASK 32 WAITING default FIRST_RESOURCES {}
1680634608180010 108464 TASK 33 WAITING default FIRST_RESOURCES {}
1680634608180035 108464 TASK 34 WAITING default FIRST_RESOURCES {}
1680634608180058 108464 TASK 35 WAITING default FIRST_RESOURCES {}
1680634608180083 108464 TASK 36 WAITING default FIRST_RESOURCES {}
1680634608180108 108464 TASK 37 WAITING default FIRST_RESOURCES {}
1680634608180132 108464 TASK 38 WAITING default FIRST_RESOURCES {}
1680634608180155 108464 TASK 39 WAITING default FIRST_RESOURCES {}
1680634608180178 108464 TASK 40 WAITING default FIRST_RESOURCES {}
1680634608180203 108464 TASK 41 WAITING default FIRST_RESOURCES {}
1680634608180228 108464 TASK 42 WAITING default FIRST_RESOURCES {}
1680634608180269 108464 TASK 43 WAITING default FIRST_RESOURCES {}
1680634608180308 108464 TASK 44 WAITING default FIRST_RESOURCES {}
1680634608180344 108464 TASK 45 WAITING default FIRST_RESOURCES {}
1680634608180368 108464 TASK 46 WAITING default FIRST_RESOURCES {}
1680634608180403 108464 TASK 47 WAITING default FIRST_RESOURCES {}
1680634608180428 108464 TASK 48 WAITING default FIRST_RESOURCES {}
1680634608180451 108464 TASK 49 WAITING default FIRST_RESOURCES {}
1680634608180475 108464 TASK 50 WAITING default FIRST_RESOURCES {}
1680634608180501 108464 TASK 51 WAITING default FIRST_RESOURCES {}
1680634608180526 108464 TASK 52 WAITING default FIRST_RESOURCES {}
1680634608180551 108464 TASK 53 WAITING default FIRST_RESOURCES {}
1680634608180575 108464 TASK 54 WAITING default FIRST_RESOURCES {}
1680634608180600 108464 TASK 55 WAITING default FIRST_RESOURCES {}
1680634608180652 108464 TASK 56 WAITING default FIRST_RESOURCES {}
1680634608180704 108464 TASK 57 WAITING default FIRST_RESOURCES {}
1680634608180740 108464 TASK 58 WAITING default FIRST_RESOURCES {}
1680634608180765 108464 TASK 59 WAITING default FIRST_RESOURCES {}
1680634608180790 108464 TASK 60 WAITING default FIRST_RESOURCES {}
1680634608180815 108464 TASK 61 WAITING default FIRST_RESOURCES {}
1680634608180840 108464 TASK 62 WAITING default FIRST_RESOURCES {}
1680634608180865 108464 TASK 63 WAITING default FIRST_RESOURCES {}
1680634608180891 108464 TASK 64 WAITING default FIRST_RESOURCES {}
1680634608180928 108464 TASK 65 WAITING default FIRST_RESOURCES {}
1680634608180952 108464 TASK 66 WAITING default FIRST_RESOURCES {}
1680634608180977 108464 TASK 67 WAITING default FIRST_RESOURCES {}
1680634608181003 108464 TASK 68 WAITING default FIRST_RESOURCES {}
1680634608181028 108464 TASK 69 WAITING default FIRST_RESOURCES {}
1680634608181052 108464 TASK 70 WAITING default FIRST_RESOURCES {}
1680634608181075 108464 TASK 71 WAITING default FIRST_RESOURCES {}
1680634608181100 108464 TASK 72 WAITING default FIRST_RESOURCES {}
1680634608181125 108464 TASK 73 WAITING default FIRST_RESOURCES {}
1680634608181148 108464 TASK 74 WAITING default FIRST_RESOURCES {}
1680634608181173 108464 TASK 75 WAITING default FIRST_RESOURCES {}
1680634608181198 108464 TASK 76 WAITING default FIRST_RESOURCES {}
1680634608181221 108464 TASK 77 WAITING default FIRST_RESOURCES {}
1680634608181246 108464 TASK 78 WAITING default FIRST_RESOURCES {}
1680634608181271 108464 TASK 79 WAITING default FIRST_RESOURCES {}
1680634608181297 108464 TASK 80 WAITING default FIRST_RESOURCES {}
1680634608181320 108464 TASK 81 WAITING default FIRST_RESOURCES {}
1680634608181343 108464 TASK 82 WAITING default FIRST_RESOURCES {}
1680634608181368 108464 TASK 83 WAITING default FIRST_RESOURCES {}
1680634608181393 108464 TASK 84 WAITING default FIRST_RESOURCES {}
1680634608181443 108464 TASK 85 WAITING default FIRST_RESOURCES {}
1680634608181472 108464 TASK 86 WAITING default FIRST_RESOURCES {}
1680634608181495 108464 TASK 87 WAITING default FIRST_RESOURCES {}
1680634608181519 108464 TASK 88 WAITING default FIRST_RESOURCES {}
1680634608181552 108464 TASK 89 WAITING default FIRST_RESOURCES {}
1680634608181587 108464 TASK 90 WAITING default FIRST_RESOURCES {}
1680634608181614 108464 TASK 91 WAITING default FIRST_RESOURCES {}
1680634608181653 108464 TASK 92 WAITING default FIRST_RESOURCES {}
1680634608181677 108464 TASK 93 WAITING default FIRST_RESOURCES {}
1680634608181706 108464 TASK 94 WAITING default FIRST_RESOURCES {}
1680634608181732 108464 TASK 95 WAITING default FIRST_RESOURCES {}
1680634608181758 108464 TASK 96 WAITING default FIRST_RESOURCES {}
1680634608181803 108464 TASK 97 WAITING default FIRST_RESOURCES {}
1680634608181830 108464 TASK 98 WAITING default FIRST_RESOURCES {}
1680634608181854 108464 TASK 99 WAITING default FIRST_RESOURCES {}
1680634608181880 108464 TASK 100 WAITING default FIRST_RESOURCES {}
1680634608181907 108464 TASK 101 WAITING default FIRST_RESOURCES {}
1680634608181942 108464 TASK 102 WAITING default FIRST_RESOURCES {}
1680634608181967 108464 TASK 103 WAITING default FIRST_RESOURCES {}
1680634608181992 108464 TASK 104 WAITING default FIRST_RESOURCES {}
1680634608182019 108464 TASK 105 WAITING default FIRST_RESOURCES {}
1680634608182045 108464 TASK 106 WAITING default FIRST_RESOURCES {}
1680634608182070 108464 TASK 107 WAITING default FIRST_RESOURCES {}
1680634608182095 108464 TASK 108 WAITING default FIRST_RESOURCES {}
1680634608182118 108464 TASK 109 WAITING default FIRST_RESOURCES {}
1680634608182146 108464 TASK 110 WAITING default FIRST_RESOURCES {}
1680634608182172 108464 TASK 111 WAITING default FIRST_RESOURCES {}
1680634608182198 108464 TASK 112 WAITING default FIRST_RESOURCES {}
1680634608182241 108464 TASK 113 WAITING default FIRST_RESOURCES {}
1680634608182264 108464 TASK 114 WAITING default FIRST_RESOURCES {}
1680634608182287 108464 TASK 115 WAITING default FIRST_RESOURCES {}
1680634608182321 108464 TASK 116 WAITING default FIRST_RESOURCES {}
1680634608182344 108464 TASK 117 WAITING default FIRST_RESOURCES {}
1680634608182379 108464 TASK 118 WAITING default FIRST_RESOURCES {}
1680634608182405 108464 TASK 119 WAITING default FIRST_RESOURCES {}
1680634608182430 108464 TASK 120 WAITING default FIRST_RESOURCES {}
1680634608182454 108464 TASK 121 WAITING default FIRST_RESOURCES {}
1680634608182479 108464 TASK 122 WAITING default FIRST_RESOURCES {}
1680634608182504 108464 TASK 123 WAITING default FIRST_RESOURCES {}
1680634608182530 108464 TASK 124 WAITING default FIRST_RESOURCES {}
1680634608182553 108464 TASK 125 WAITING default FIRST_RESOURCES {}
1680634608182581 108464 TASK 126 WAITING default FIRST_RESOURCES {}
1680634608182617 108464 TASK 127 WAITING default FIRST_RESOURCES {}
1680634608182663 108464 TASK 128 WAITING default FIRST_RESOURCES {}
1680634608182687 108464 TASK 129 WAITING default FIRST_RESOURCES {}
1680634608182725 108464 TASK 130 WAITING default FIRST_RESOURCES {}
1680634608182752 108464 TASK 131 WAITING default FIRST_RESOURCES {}
1680634608182778 108464 TASK 132 WAITING default FIRST_RESOURCES {}
1680634608182802 108464 TASK 133 WAITING default FIRST_RESOURCES {}
1680634608182828 108464 TASK 134 WAITING default FIRST_RESOURCES {}
1680634608182855 108464 TASK 135 WAITING default FIRST_RESOURCES {}
1680634608182883 108464 TASK 136 WAITING default FIRST_RESOURCES {}
1680634608182908 108464 TASK 137 WAITING default FIRST_RESOURCES {}
1680634608182946 108464 TASK 138 WAITING default FIRST_RESOURCES {}
1680634608182972 108464 TASK 139 WAITING default FIRST_RESOURCES {}
1680634608183005 108464 TASK 140 WAITING default FIRST_RESOURCES {}
1680634608183039 108464 TASK 141 WAITING default FIRST_RESOURCES {}
1680634608183063 108464 TASK 142 WAITING default FIRST_RESOURCES {}
1680634608183098 108464 TASK 143 WAITING default FIRST_RESOURCES {}
1680634608183132 108464 TASK 144 WAITING default FIRST_RESOURCES {}
1680634608183157 108464 TASK 145 WAITING default FIRST_RESOURCES {}
1680634608183182 108464 TASK 146 WAITING default FIRST_RESOURCES {}
1680634608183208 108464 TASK 147 WAITING default FIRST_RESOURCES {}
1680634608183231 108464 TASK 148 WAITING default FIRST_RESOURCES {}
1680634608183256 108464 TASK 149 WAITING default FIRST_RESOURCES {}
1680634608183283 108464 TASK 150 WAITING default FIRST_RESOURCES {}
1680634608183309 108464 TASK 151 WAITING default FIRST_RESOURCES {}
1680634608183332 108464 TASK 152 WAITING default FIRST_RESOURCES {}
1680634608183383 108464 TASK 153 WAITING default FIRST_RESOURCES {}
1680634608183410 108464 TASK 154 WAITING default FIRST_RESOURCES {}
1680634608183436 108464 TASK 155 WAITING default FIRST_RESOURCES {}
1680634608183460 108464 TASK 156 WAITING default FIRST_RESOURCES {}
