# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1681326597001904 702739 MANAGER START
1681326597098963 702739 CATEGORY default MAX {}
1681326597098975 702739 CATEGORY default MIN {}
1681326597098980 702739 CATEGORY default FIRST MAX {}
1681326597100499 702739 TASK 1 WAITING default FIRST_RESOURCES {}
1681326597100529 702739 TASK 2 WAITING default FIRST_RESOURCES {}
1681326597100552 702739 TASK 3 WAITING default FIRST_RESOURCES {}
1681326597100575 702739 TASK 4 WAITING default FIRST_RESOURCES {}
1681326597100594 702739 TASK 5 WAITING default FIRST_RESOURCES {}
1681326597100615 702739 TASK 6 WAITING default FIRST_RESOURCES {}
1681326597100634 702739 TASK 7 WAITING default FIRST_RESOURCES {}
1681326597100653 702739 TASK 8 WAITING default FIRST_RESOURCES {}
1681326597100674 702739 TASK 9 WAITING default FIRST_RESOURCES {}
1681326597100695 702739 TASK 10 WAITING default FIRST_RESOURCES {}
1681326597100720 702739 TASK 11 WAITING default FIRST_RESOURCES {}
1681326597100739 702739 TASK 12 WAITING default FIRST_RESOURCES {}
1681326597100760 702739 TASK 13 WAITING default FIRST_RESOURCES {}
1681326597100803 702739 TASK 14 WAITING default FIRST_RESOURCES {}
1681326597100833 702739 TASK 15 WAITING default FIRST_RESOURCES {}
1681326597100862 702739 TASK 16 WAITING default FIRST_RESOURCES {}
1681326597100884 702739 TASK 17 WAITING default FIRST_RESOURCES {}
1681326597100902 702739 TASK 18 WAITING default FIRST_RESOURCES {}
1681326597100932 702739 TASK 19 WAITING default FIRST_RESOURCES {}
1681326597100950 702739 TASK 20 WAITING default FIRST_RESOURCES {}
1681326597100971 702739 TASK 21 WAITING default FIRST_RESOURCES {}
1681326597100993 702739 TASK 22 WAITING default FIRST_RESOURCES {}
1681326597101015 702739 TASK 23 WAITING default FIRST_RESOURCES {}
1681326597101034 702739 TASK 24 WAITING default FIRST_RESOURCES {}
1681326597101054 702739 TASK 25 WAITING default FIRST_RESOURCES {}
1681326597101075 702739 TASK 26 WAITING default FIRST_RESOURCES {}
1681326597101096 702739 TASK 27 WAITING default FIRST_RESOURCES {}
1681326597101115 702739 TASK 28 WAITING default FIRST_RESOURCES {}
1681326597101133 702739 TASK 29 WAITING default FIRST_RESOURCES {}
1681326597101152 702739 TASK 30 WAITING default FIRST_RESOURCES {}
1681326597101173 702739 TASK 31 WAITING default FIRST_RESOURCES {}
1681326597101194 702739 TASK 32 WAITING default FIRST_RESOURCES {}
1681326597101213 702739 TASK 33 WAITING default FIRST_RESOURCES {}
1681326597101234 702739 TASK 34 WAITING default FIRST_RESOURCES {}
1681326597101255 702739 TASK 35 WAITING default FIRST_RESOURCES {}
