# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680650292568441 132852 MANAGER START
1680650292572010 132852 CATEGORY default MAX {}
1680650292572024 132852 CATEGORY default MIN {}
1680650292572033 132852 CATEGORY default FIRST MAX_THROUGHPUT {}
1680650292572109 132852 TASK 1 WAITING default FIRST_RESOURCES {}
1680650292572146 132852 TASK 2 WAITING default FIRST_RESOURCES {}
1680650292572174 132852 TASK 3 WAITING default FIRST_RESOURCES {}
1680650292572198 132852 TASK 4 WAITING default FIRST_RESOURCES {}
1680650292572224 132852 TASK 5 WAITING default FIRST_RESOURCES {}
1680650292572249 132852 TASK 6 WAITING default FIRST_RESOURCES {}
1680650292572272 132852 TASK 7 WAITING default FIRST_RESOURCES {}
1680650292572294 132852 TASK 8 WAITING default FIRST_RESOURCES {}
1680650292572318 132852 TASK 9 WAITING default FIRST_RESOURCES {}
1680650292572343 132852 TASK 10 WAITING default FIRST_RESOURCES {}
1680650292572369 132852 TASK 11 WAITING default FIRST_RESOURCES {}
1680650292572392 132852 TASK 12 WAITING default FIRST_RESOURCES {}
1680650292572416 132852 TASK 13 WAITING default FIRST_RESOURCES {}
1680650292572441 132852 TASK 14 WAITING default FIRST_RESOURCES {}
1680650292572468 132852 TASK 15 WAITING default FIRST_RESOURCES {}
1680650292572491 132852 TASK 16 WAITING default FIRST_RESOURCES {}
1680650292572515 132852 TASK 17 WAITING default FIRST_RESOURCES {}
1680650292572538 132852 TASK 18 WAITING default FIRST_RESOURCES {}
1680650292572560 132852 TASK 19 WAITING default FIRST_RESOURCES {}
1680650292572583 132852 TASK 20 WAITING default FIRST_RESOURCES {}
1680650292572607 132852 TASK 21 WAITING default FIRST_RESOURCES {}
1680650292572663 132852 TASK 22 WAITING default FIRST_RESOURCES {}
1680650292572694 132852 TASK 23 WAITING default FIRST_RESOURCES {}
1680650292572720 132852 TASK 24 WAITING default FIRST_RESOURCES {}
1680650292572748 132852 TASK 25 WAITING default FIRST_RESOURCES {}
1680650292572776 132852 TASK 26 WAITING default FIRST_RESOURCES {}
1680650292572806 132852 TASK 27 WAITING default FIRST_RESOURCES {}
1680650292572832 132852 TASK 28 WAITING default FIRST_RESOURCES {}
1680650292572857 132852 TASK 29 WAITING default FIRST_RESOURCES {}
1680650292572883 132852 TASK 30 WAITING default FIRST_RESOURCES {}
1680650292572911 132852 TASK 31 WAITING default FIRST_RESOURCES {}
1680650292572948 132852 TASK 32 WAITING default FIRST_RESOURCES {}
1680650292572973 132852 TASK 33 WAITING default FIRST_RESOURCES {}
1680650292572998 132852 TASK 34 WAITING default FIRST_RESOURCES {}
1680650292573023 132852 TASK 35 WAITING default FIRST_RESOURCES {}
