# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680643311924426 123044 MANAGER START
1680643311927873 123044 CATEGORY default MAX {}
1680643311927886 123044 CATEGORY default MIN {}
1680643311927893 123044 CATEGORY default FIRST MIN_WASTE {}
1680643311928004 123044 TASK 1 WAITING default FIRST_RESOURCES {}
1680643311928049 123044 TASK 2 WAITING default FIRST_RESOURCES {}
1680643311928078 123044 TASK 3 WAITING default FIRST_RESOURCES {}
1680643311928103 123044 TASK 4 WAITING default FIRST_RESOURCES {}
1680643311928131 123044 TASK 5 WAITING default FIRST_RESOURCES {}
1680643311928158 123044 TASK 6 WAITING default FIRST_RESOURCES {}
1680643311928182 123044 TASK 7 WAITING default FIRST_RESOURCES {}
1680643311928207 123044 TASK 8 WAITING default FIRST_RESOURCES {}
1680643311928232 123044 TASK 9 WAITING default FIRST_RESOURCES {}
1680643311928270 123044 TASK 10 WAITING default FIRST_RESOURCES {}
1680643311928297 123044 TASK 11 WAITING default FIRST_RESOURCES {}
1680643311928321 123044 TASK 12 WAITING default FIRST_RESOURCES {}
1680643311928356 123044 TASK 13 WAITING default FIRST_RESOURCES {}
1680643311928392 123044 TASK 14 WAITING default FIRST_RESOURCES {}
1680643311928416 123044 TASK 15 WAITING default FIRST_RESOURCES {}
1680643311928438 123044 TASK 16 WAITING default FIRST_RESOURCES {}
1680643311928476 123044 TASK 17 WAITING default FIRST_RESOURCES {}
1680643311928498 123044 TASK 18 WAITING default FIRST_RESOURCES {}
1680643311928519 123044 TASK 19 WAITING default FIRST_RESOURCES {}
1680643311928540 123044 TASK 20 WAITING default FIRST_RESOURCES {}
1680643311928570 123044 TASK 21 WAITING default FIRST_RESOURCES {}
1680643311928595 123044 TASK 22 WAITING default FIRST_RESOURCES {}
1680643311928624 123044 TASK 23 WAITING default FIRST_RESOURCES {}
1680643311928661 123044 TASK 24 WAITING default FIRST_RESOURCES {}
1680643311928687 123044 TASK 25 WAITING default FIRST_RESOURCES {}
1680643311928715 123044 TASK 26 WAITING default FIRST_RESOURCES {}
1680643311928742 123044 TASK 27 WAITING default FIRST_RESOURCES {}
1680643311928766 123044 TASK 28 WAITING default FIRST_RESOURCES {}
1680643311928790 123044 TASK 29 WAITING default FIRST_RESOURCES {}
1680643311928814 123044 TASK 30 WAITING default FIRST_RESOURCES {}
1680643311928841 123044 TASK 31 WAITING default FIRST_RESOURCES {}
1680643311928865 123044 TASK 32 WAITING default FIRST_RESOURCES {}
1680643311928900 123044 TASK 33 WAITING default FIRST_RESOURCES {}
1680643311928939 123044 TASK 34 WAITING default FIRST_RESOURCES {}
