# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680722313773670 322621 MANAGER START
1680722313777863 322621 CATEGORY default MAX {}
1680722313777880 322621 CATEGORY default MIN {}
1680722313777887 322621 CATEGORY default FIRST EXHAUSTIVE_BUCKETING {}
1680722313777971 322621 TASK 1 WAITING default FIRST_RESOURCES {}
1680722313778001 322621 TASK 2 WAITING default FIRST_RESOURCES {}
1680722313778024 322621 TASK 3 WAITING default FIRST_RESOURCES {}
1680722313778048 322621 TASK 4 WAITING default FIRST_RESOURCES {}
1680722313778072 322621 TASK 5 WAITING default FIRST_RESOURCES {}
1680722313778094 322621 TASK 6 WAITING default FIRST_RESOURCES {}
1680722313778120 322621 TASK 7 WAITING default FIRST_RESOURCES {}
1680722313778141 322621 TASK 8 WAITING default FIRST_RESOURCES {}
1680722313778165 322621 TASK 9 WAITING default FIRST_RESOURCES {}
1680722313778189 322621 TASK 10 WAITING default FIRST_RESOURCES {}
1680722313778215 322621 TASK 11 WAITING default FIRST_RESOURCES {}
1680722313778237 322621 TASK 12 WAITING default FIRST_RESOURCES {}
1680722313778261 322621 TASK 13 WAITING default FIRST_RESOURCES {}
1680722313778286 322621 TASK 14 WAITING default FIRST_RESOURCES {}
1680722313778308 322621 TASK 15 WAITING default FIRST_RESOURCES {}
1680722313778332 322621 TASK 16 WAITING default FIRST_RESOURCES {}
1680722313778354 322621 TASK 17 WAITING default FIRST_RESOURCES {}
1680722313778376 322621 TASK 18 WAITING default FIRST_RESOURCES {}
1680722313778397 322621 TASK 19 WAITING default FIRST_RESOURCES {}
