# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680717581288945 313578 MANAGER START
1680717581295068 313578 CATEGORY default MAX {}
1680717581295084 313578 CATEGORY default MIN {}
1680717581295091 313578 CATEGORY default FIRST GREEDY_BUCKETING {}
1680717581295179 313578 TASK 1 WAITING default FIRST_RESOURCES {}
1680717581295213 313578 TASK 2 WAITING default FIRST_RESOURCES {}
1680717581295240 313578 TASK 3 WAITING default FIRST_RESOURCES {}
1680717581295267 313578 TASK 4 WAITING default FIRST_RESOURCES {}
1680717581295295 313578 TASK 5 WAITING default FIRST_RESOURCES {}
1680717581295320 313578 TASK 6 WAITING default FIRST_RESOURCES {}
1680717581295346 313578 TASK 7 WAITING default FIRST_RESOURCES {}
1680717581295371 313578 TASK 8 WAITING default FIRST_RESOURCES {}
1680717581295397 313578 TASK 9 WAITING default FIRST_RESOURCES {}
1680717581295424 313578 TASK 10 WAITING default FIRST_RESOURCES {}
1680717581295451 313578 TASK 11 WAITING default FIRST_RESOURCES {}
1680717581295477 313578 TASK 12 WAITING default FIRST_RESOURCES {}
1680717581295504 313578 TASK 13 WAITING default FIRST_RESOURCES {}
1680717581295531 313578 TASK 14 WAITING default FIRST_RESOURCES {}
1680717581295556 313578 TASK 15 WAITING default FIRST_RESOURCES {}
1680717581295583 313578 TASK 16 WAITING default FIRST_RESOURCES {}
1680717581295608 313578 TASK 17 WAITING default FIRST_RESOURCES {}
1680717581295640 313578 TASK 18 WAITING default FIRST_RESOURCES {}
1680717581295666 313578 TASK 19 WAITING default FIRST_RESOURCES {}
1680717581295693 313578 TASK 20 WAITING default FIRST_RESOURCES {}
1680717581295722 313578 TASK 21 WAITING default FIRST_RESOURCES {}
1680717581295751 313578 TASK 22 WAITING default FIRST_RESOURCES {}
1680717581295776 313578 TASK 23 WAITING default FIRST_RESOURCES {}
1680717581295803 313578 TASK 24 WAITING default FIRST_RESOURCES {}
1680717581295831 313578 TASK 25 WAITING default FIRST_RESOURCES {}
1680717581295858 313578 TASK 26 WAITING default FIRST_RESOURCES {}
1680717581295883 313578 TASK 27 WAITING default FIRST_RESOURCES {}
1680717581295908 313578 TASK 28 WAITING default FIRST_RESOURCES {}
1680717581295934 313578 TASK 29 WAITING default FIRST_RESOURCES {}
1680717581295970 313578 TASK 30 WAITING default FIRST_RESOURCES {}
1680717581295997 313578 TASK 31 WAITING default FIRST_RESOURCES {}
1680717581296022 313578 TASK 32 WAITING default FIRST_RESOURCES {}
1680717581296050 313578 TASK 33 WAITING default FIRST_RESOURCES {}
1680717581296078 313578 TASK 34 WAITING default FIRST_RESOURCES {}
1680717581296105 313578 TASK 35 WAITING default FIRST_RESOURCES {}
1680717581296131 313578 TASK 36 WAITING default FIRST_RESOURCES {}
1680717581296157 313578 TASK 37 WAITING default FIRST_RESOURCES {}
1680717581296182 313578 TASK 38 WAITING default FIRST_RESOURCES {}
1680717581296207 313578 TASK 39 WAITING default FIRST_RESOURCES {}
1680717581296232 313578 TASK 40 WAITING default FIRST_RESOURCES {}
1680717581296258 313578 TASK 41 WAITING default FIRST_RESOURCES {}
1680717581296286 313578 TASK 42 WAITING default FIRST_RESOURCES {}
1680717581296321 313578 TASK 43 WAITING default FIRST_RESOURCES {}
1680717581296352 313578 TASK 44 WAITING default FIRST_RESOURCES {}
1680717581296381 313578 TASK 45 WAITING default FIRST_RESOURCES {}
1680717581296410 313578 TASK 46 WAITING default FIRST_RESOURCES {}
1680717581296437 313578 TASK 47 WAITING default FIRST_RESOURCES {}
1680717581296462 313578 TASK 48 WAITING default FIRST_RESOURCES {}
1680717581296487 313578 TASK 49 WAITING default FIRST_RESOURCES {}
1680717581296512 313578 TASK 50 WAITING default FIRST_RESOURCES {}
1680717581296541 313578 TASK 51 WAITING default FIRST_RESOURCES {}
1680717581296568 313578 TASK 52 WAITING default FIRST_RESOURCES {}
1680717581296596 313578 TASK 53 WAITING default FIRST_RESOURCES {}
