# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1681347192353457 763096 MANAGER START
1681347192360816 763096 CATEGORY default MAX {}
1681347192360827 763096 CATEGORY default MIN {}
1681347192360833 763096 CATEGORY default FIRST MAX {}
1681347192364401 763096 TASK 1 WAITING default FIRST_RESOURCES {}
1681347192364448 763096 TASK 2 WAITING default FIRST_RESOURCES {}
1681347192364470 763096 TASK 3 WAITING default FIRST_RESOURCES {}
1681347192364492 763096 TASK 4 WAITING default FIRST_RESOURCES {}
1681347192364511 763096 TASK 5 WAITING default FIRST_RESOURCES {}
1681347192364532 763096 TASK 6 WAITING default FIRST_RESOURCES {}
1681347192364551 763096 TASK 7 WAITING default FIRST_RESOURCES {}
1681347192364570 763096 TASK 8 WAITING default FIRST_RESOURCES {}
1681347192364590 763096 TASK 9 WAITING default FIRST_RESOURCES {}
1681347192364610 763096 TASK 10 WAITING default FIRST_RESOURCES {}
1681347192364643 763096 TASK 11 WAITING default FIRST_RESOURCES {}
1681347192364672 763096 TASK 12 WAITING default FIRST_RESOURCES {}
1681347192364700 763096 TASK 13 WAITING default FIRST_RESOURCES {}
1681347192364725 763096 TASK 14 WAITING default FIRST_RESOURCES {}
1681347192364744 763096 TASK 15 WAITING default FIRST_RESOURCES {}
1681347192364761 763096 TASK 16 WAITING default FIRST_RESOURCES {}
1681347192364781 763096 TASK 17 WAITING default FIRST_RESOURCES {}
1681347192364798 763096 TASK 18 WAITING default FIRST_RESOURCES {}
1681347192364826 763096 TASK 19 WAITING default FIRST_RESOURCES {}
1681347192364855 763096 TASK 20 WAITING default FIRST_RESOURCES {}
1681347192364875 763096 TASK 21 WAITING default FIRST_RESOURCES {}
1681347192364896 763096 TASK 22 WAITING default FIRST_RESOURCES {}
1681347192364928 763096 TASK 23 WAITING default FIRST_RESOURCES {}
1681347192364946 763096 TASK 24 WAITING default FIRST_RESOURCES {}
1681347192364966 763096 TASK 25 WAITING default FIRST_RESOURCES {}
1681347192364988 763096 TASK 26 WAITING default FIRST_RESOURCES {}
1681347192365009 763096 TASK 27 WAITING default FIRST_RESOURCES {}
1681347192365026 763096 TASK 28 WAITING default FIRST_RESOURCES {}
1681347192365055 763096 TASK 29 WAITING default FIRST_RESOURCES {}
1681347192365073 763096 TASK 30 WAITING default FIRST_RESOURCES {}
1681347192365105 763096 TASK 31 WAITING default FIRST_RESOURCES {}
1681347192365135 763096 TASK 32 WAITING default FIRST_RESOURCES {}
1681347192365152 763096 TASK 33 WAITING default FIRST_RESOURCES {}
1681347192365171 763096 TASK 34 WAITING default FIRST_RESOURCES {}
1681347192365201 763096 TASK 35 WAITING default FIRST_RESOURCES {}
1681347192365232 763096 TASK 36 WAITING default FIRST_RESOURCES {}
1681347192365251 763096 TASK 37 WAITING default FIRST_RESOURCES {}
1681347192365285 763096 TASK 38 WAITING default FIRST_RESOURCES {}
1681347192365303 763096 TASK 39 WAITING default FIRST_RESOURCES {}
1681347192365322 763096 TASK 40 WAITING default FIRST_RESOURCES {}
1681347192365345 763096 TASK 41 WAITING default FIRST_RESOURCES {}
1681347192365370 763096 TASK 42 WAITING default FIRST_RESOURCES {}
1681347192365400 763096 TASK 43 WAITING default FIRST_RESOURCES {}
1681347192365429 763096 TASK 44 WAITING default FIRST_RESOURCES {}
1681347192365449 763096 TASK 45 WAITING default FIRST_RESOURCES {}
1681347192365471 763096 TASK 46 WAITING default FIRST_RESOURCES {}
1681347192365493 763096 TASK 47 WAITING default FIRST_RESOURCES {}
1681347192365512 763096 TASK 48 WAITING default FIRST_RESOURCES {}
1681347192365533 763096 TASK 49 WAITING default FIRST_RESOURCES {}
1681347192365552 763096 TASK 50 WAITING default FIRST_RESOURCES {}
1681347192365571 763096 TASK 51 WAITING default FIRST_RESOURCES {}
1681347192365595 763096 TASK 52 WAITING default FIRST_RESOURCES {}
1681347192365627 763096 TASK 53 WAITING default FIRST_RESOURCES {}
1681347192365657 763096 TASK 54 WAITING default FIRST_RESOURCES {}
