# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680802931786886 529018 MANAGER START
1680802931790880 529018 CATEGORY default MAX {}
1680802931790910 529018 CATEGORY default MIN {}
1680802931790929 529018 CATEGORY default FIRST MAX_THROUGHPUT {}
1680802931791018 529018 TASK 1 WAITING default FIRST_RESOURCES {}
1680802931791050 529018 TASK 2 WAITING default FIRST_RESOURCES {}
1680802931791077 529018 TASK 3 WAITING default FIRST_RESOURCES {}
1680802931791101 529018 TASK 4 WAITING default FIRST_RESOURCES {}
1680802931791126 529018 TASK 5 WAITING default FIRST_RESOURCES {}
1680802931791151 529018 TASK 6 WAITING default FIRST_RESOURCES {}
1680802931791174 529018 TASK 7 WAITING default FIRST_RESOURCES {}
1680802931791197 529018 TASK 8 WAITING default FIRST_RESOURCES {}
1680802931791221 529018 TASK 9 WAITING default FIRST_RESOURCES {}
1680802931791246 529018 TASK 10 WAITING default FIRST_RESOURCES {}
1680802931791273 529018 TASK 11 WAITING default FIRST_RESOURCES {}
1680802931791296 529018 TASK 12 WAITING default FIRST_RESOURCES {}
1680802931791321 529018 TASK 13 WAITING default FIRST_RESOURCES {}
1680802931791347 529018 TASK 14 WAITING default FIRST_RESOURCES {}
1680802931791373 529018 TASK 15 WAITING default FIRST_RESOURCES {}
1680802931791396 529018 TASK 16 WAITING default FIRST_RESOURCES {}
1680802931791421 529018 TASK 17 WAITING default FIRST_RESOURCES {}
1680802931791444 529018 TASK 18 WAITING default FIRST_RESOURCES {}
1680802931791466 529018 TASK 19 WAITING default FIRST_RESOURCES {}
1680802931791489 529018 TASK 20 WAITING default FIRST_RESOURCES {}
1680802931791514 529018 TASK 21 WAITING default FIRST_RESOURCES {}
1680802931791542 529018 TASK 22 WAITING default FIRST_RESOURCES {}
1680802931791567 529018 TASK 23 WAITING default FIRST_RESOURCES {}
1680802931791590 529018 TASK 24 WAITING default FIRST_RESOURCES {}
1680802931791615 529018 TASK 25 WAITING default FIRST_RESOURCES {}
1680802931791662 529018 TASK 26 WAITING default FIRST_RESOURCES {}
1680802931791691 529018 TASK 27 WAITING default FIRST_RESOURCES {}
1680802931791718 529018 TASK 28 WAITING default FIRST_RESOURCES {}
1680802931791743 529018 TASK 29 WAITING default FIRST_RESOURCES {}
1680802931791769 529018 TASK 30 WAITING default FIRST_RESOURCES {}
1680802931791799 529018 TASK 31 WAITING default FIRST_RESOURCES {}
1680802931791825 529018 TASK 32 WAITING default FIRST_RESOURCES {}
1680802931791853 529018 TASK 33 WAITING default FIRST_RESOURCES {}
1680802931791881 529018 TASK 34 WAITING default FIRST_RESOURCES {}
1680802931791922 529018 TASK 35 WAITING default FIRST_RESOURCES {}
1680802931791969 529018 TASK 36 WAITING default FIRST_RESOURCES {}
1680802931791994 529018 TASK 37 WAITING default FIRST_RESOURCES {}
1680802931792019 529018 TASK 38 WAITING default FIRST_RESOURCES {}
1680802931792042 529018 TASK 39 WAITING default FIRST_RESOURCES {}
1680802931792065 529018 TASK 40 WAITING default FIRST_RESOURCES {}
1680802931792088 529018 TASK 41 WAITING default FIRST_RESOURCES {}
1680802931792113 529018 TASK 42 WAITING default FIRST_RESOURCES {}
1680802931792161 529018 TASK 43 WAITING default FIRST_RESOURCES {}
1680802931792193 529018 TASK 44 WAITING default FIRST_RESOURCES {}
1680802931792220 529018 TASK 45 WAITING default FIRST_RESOURCES {}
1680802931792248 529018 TASK 46 WAITING default FIRST_RESOURCES {}
1680802931792275 529018 TASK 47 WAITING default FIRST_RESOURCES {}
1680802931792299 529018 TASK 48 WAITING default FIRST_RESOURCES {}
1680802931792325 529018 TASK 49 WAITING default FIRST_RESOURCES {}
1680802931792349 529018 TASK 50 WAITING default FIRST_RESOURCES {}
1680802931792373 529018 TASK 51 WAITING default FIRST_RESOURCES {}
1680802931792401 529018 TASK 52 WAITING default FIRST_RESOURCES {}
1680802931792427 529018 TASK 53 WAITING default FIRST_RESOURCES {}
1680802931792452 529018 TASK 54 WAITING default FIRST_RESOURCES {}
1680802931792478 529018 TASK 55 WAITING default FIRST_RESOURCES {}
1680802931792505 529018 TASK 56 WAITING default FIRST_RESOURCES {}
1680802931792531 529018 TASK 57 WAITING default FIRST_RESOURCES {}
1680802931792555 529018 TASK 58 WAITING default FIRST_RESOURCES {}
1680802931792581 529018 TASK 59 WAITING default FIRST_RESOURCES {}
1680802931792621 529018 TASK 60 WAITING default FIRST_RESOURCES {}
1680802931792661 529018 TASK 61 WAITING default FIRST_RESOURCES {}
1680802931792686 529018 TASK 62 WAITING default FIRST_RESOURCES {}
1680802931792715 529018 TASK 63 WAITING default FIRST_RESOURCES {}
1680802931792743 529018 TASK 64 WAITING default FIRST_RESOURCES {}
1680802931792771 529018 TASK 65 WAITING default FIRST_RESOURCES {}
1680802931792797 529018 TASK 66 WAITING default FIRST_RESOURCES {}
1680802931792824 529018 TASK 67 WAITING default FIRST_RESOURCES {}
1680802931792852 529018 TASK 68 WAITING default FIRST_RESOURCES {}
1680802931792881 529018 TASK 69 WAITING default FIRST_RESOURCES {}
1680802931792920 529018 TASK 70 WAITING default FIRST_RESOURCES {}
1680802931792968 529018 TASK 71 WAITING default FIRST_RESOURCES {}
1680802931792991 529018 TASK 72 WAITING default FIRST_RESOURCES {}
1680802931793015 529018 TASK 73 WAITING default FIRST_RESOURCES {}
1680802931793038 529018 TASK 74 WAITING default FIRST_RESOURCES {}
1680802931793062 529018 TASK 75 WAITING default FIRST_RESOURCES {}
1680802931793087 529018 TASK 76 WAITING default FIRST_RESOURCES {}
1680802931793111 529018 TASK 77 WAITING default FIRST_RESOURCES {}
1680802931793134 529018 TASK 78 WAITING default FIRST_RESOURCES {}
1680802931793158 529018 TASK 79 WAITING default FIRST_RESOURCES {}
1680802931793183 529018 TASK 80 WAITING default FIRST_RESOURCES {}
1680802931793208 529018 TASK 81 WAITING default FIRST_RESOURCES {}
1680802931793230 529018 TASK 82 WAITING default FIRST_RESOURCES {}
1680802931793253 529018 TASK 83 WAITING default FIRST_RESOURCES {}
1680802931793277 529018 TASK 84 WAITING default FIRST_RESOURCES {}
1680802931793319 529018 TASK 85 WAITING default FIRST_RESOURCES {}
1680802931793344 529018 TASK 86 WAITING default FIRST_RESOURCES {}
1680802931793370 529018 TASK 87 WAITING default FIRST_RESOURCES {}
1680802931793396 529018 TASK 88 WAITING default FIRST_RESOURCES {}
1680802931793423 529018 TASK 89 WAITING default FIRST_RESOURCES {}
1680802931793447 529018 TASK 90 WAITING default FIRST_RESOURCES {}
1680802931793473 529018 TASK 91 WAITING default FIRST_RESOURCES {}
1680802931793501 529018 TASK 92 WAITING default FIRST_RESOURCES {}
1680802931793526 529018 TASK 93 WAITING default FIRST_RESOURCES {}
1680802931793550 529018 TASK 94 WAITING default FIRST_RESOURCES {}
1680802931793580 529018 TASK 95 WAITING default FIRST_RESOURCES {}
1680802931793607 529018 TASK 96 WAITING default FIRST_RESOURCES {}
1680802931793671 529018 TASK 97 WAITING default FIRST_RESOURCES {}
1680802931793701 529018 TASK 98 WAITING default FIRST_RESOURCES {}
1680802931793729 529018 TASK 99 WAITING default FIRST_RESOURCES {}
1680802931793755 529018 TASK 100 WAITING default FIRST_RESOURCES {}
1680802931793783 529018 TASK 101 WAITING default FIRST_RESOURCES {}
1680802931793809 529018 TASK 102 WAITING default FIRST_RESOURCES {}
1680802931793836 529018 TASK 103 WAITING default FIRST_RESOURCES {}
1680802931793864 529018 TASK 104 WAITING default FIRST_RESOURCES {}
1680802931793894 529018 TASK 105 WAITING default FIRST_RESOURCES {}
1680802931793946 529018 TASK 106 WAITING default FIRST_RESOURCES {}
1680802931793982 529018 TASK 107 WAITING default FIRST_RESOURCES {}
1680802931794007 529018 TASK 108 WAITING default FIRST_RESOURCES {}
1680802931794030 529018 TASK 109 WAITING default FIRST_RESOURCES {}
1680802931794054 529018 TASK 110 WAITING default FIRST_RESOURCES {}
1680802931794080 529018 TASK 111 WAITING default FIRST_RESOURCES {}
1680802931794105 529018 TASK 112 WAITING default FIRST_RESOURCES {}
1680802931794127 529018 TASK 113 WAITING default FIRST_RESOURCES {}
1680802931794152 529018 TASK 114 WAITING default FIRST_RESOURCES {}
1680802931794177 529018 TASK 115 WAITING default FIRST_RESOURCES {}
1680802931794202 529018 TASK 116 WAITING default FIRST_RESOURCES {}
1680802931794224 529018 TASK 117 WAITING default FIRST_RESOURCES {}
1680802931794249 529018 TASK 118 WAITING default FIRST_RESOURCES {}
1680802931794273 529018 TASK 119 WAITING default FIRST_RESOURCES {}
1680802931794298 529018 TASK 120 WAITING default FIRST_RESOURCES {}
1680802931794321 529018 TASK 121 WAITING default FIRST_RESOURCES {}
1680802931794345 529018 TASK 122 WAITING default FIRST_RESOURCES {}
1680802931794369 529018 TASK 123 WAITING default FIRST_RESOURCES {}
1680802931794394 529018 TASK 124 WAITING default FIRST_RESOURCES {}
1680802931794417 529018 TASK 125 WAITING default FIRST_RESOURCES {}
1680802931794441 529018 TASK 126 WAITING default FIRST_RESOURCES {}
1680802931794483 529018 TASK 127 WAITING default FIRST_RESOURCES {}
1680802931794510 529018 TASK 128 WAITING default FIRST_RESOURCES {}
1680802931794535 529018 TASK 129 WAITING default FIRST_RESOURCES {}
1680802931794560 529018 TASK 130 WAITING default FIRST_RESOURCES {}
1680802931794588 529018 TASK 131 WAITING default FIRST_RESOURCES {}
1680802931794615 529018 TASK 132 WAITING default FIRST_RESOURCES {}
1680802931794657 529018 TASK 133 WAITING default FIRST_RESOURCES {}
1680802931794686 529018 TASK 134 WAITING default FIRST_RESOURCES {}
1680802931794714 529018 TASK 135 WAITING default FIRST_RESOURCES {}
1680802931794742 529018 TASK 136 WAITING default FIRST_RESOURCES {}
1680802931794768 529018 TASK 137 WAITING default FIRST_RESOURCES {}
1680802931794799 529018 TASK 138 WAITING default FIRST_RESOURCES {}
1680802931794827 529018 TASK 139 WAITING default FIRST_RESOURCES {}
1680802931794856 529018 TASK 140 WAITING default FIRST_RESOURCES {}
1680802931794882 529018 TASK 141 WAITING default FIRST_RESOURCES {}
1680802931794921 529018 TASK 142 WAITING default FIRST_RESOURCES {}
1680802931794970 529018 TASK 143 WAITING default FIRST_RESOURCES {}
