# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680726256253887 330513 MANAGER START
1680726256258240 330513 CATEGORY default MAX {}
1680726256258254 330513 CATEGORY default MIN {}
1680726256258260 330513 CATEGORY default FIRST MIN_WASTE {}
1680726256261029 330513 TASK 1 WAITING default FIRST_RESOURCES {}
1680726256261068 330513 TASK 2 WAITING default FIRST_RESOURCES {}
1680726256261098 330513 TASK 3 WAITING default FIRST_RESOURCES {}
1680726256261137 330513 TASK 4 WAITING default FIRST_RESOURCES {}
1680726256261165 330513 TASK 5 WAITING default FIRST_RESOURCES {}
1680726256261204 330513 TASK 6 WAITING default FIRST_RESOURCES {}
1680726256261230 330513 TASK 7 WAITING default FIRST_RESOURCES {}
1680726256261256 330513 TASK 8 WAITING default FIRST_RESOURCES {}
1680726256261283 330513 TASK 9 WAITING default FIRST_RESOURCES {}
1680726256261310 330513 TASK 10 WAITING default FIRST_RESOURCES {}
1680726256261339 330513 TASK 11 WAITING default FIRST_RESOURCES {}
1680726256261365 330513 TASK 12 WAITING default FIRST_RESOURCES {}
1680726256261393 330513 TASK 13 WAITING default FIRST_RESOURCES {}
1680726256261421 330513 TASK 14 WAITING default FIRST_RESOURCES {}
1680726256261449 330513 TASK 15 WAITING default FIRST_RESOURCES {}
1680726256261474 330513 TASK 16 WAITING default FIRST_RESOURCES {}
1680726256261502 330513 TASK 17 WAITING default FIRST_RESOURCES {}
1680726256261528 330513 TASK 18 WAITING default FIRST_RESOURCES {}
1680726256261553 330513 TASK 19 WAITING default FIRST_RESOURCES {}
1680726256261579 330513 TASK 20 WAITING default FIRST_RESOURCES {}
1680726256261606 330513 TASK 21 WAITING default FIRST_RESOURCES {}
1680726256261641 330513 TASK 22 WAITING default FIRST_RESOURCES {}
1680726256261670 330513 TASK 23 WAITING default FIRST_RESOURCES {}
1680726256261696 330513 TASK 24 WAITING default FIRST_RESOURCES {}
1680726256261725 330513 TASK 25 WAITING default FIRST_RESOURCES {}
1680726256261753 330513 TASK 26 WAITING default FIRST_RESOURCES {}
1680726256261781 330513 TASK 27 WAITING default FIRST_RESOURCES {}
1680726256261807 330513 TASK 28 WAITING default FIRST_RESOURCES {}
1680726256261832 330513 TASK 29 WAITING default FIRST_RESOURCES {}
1680726256261858 330513 TASK 30 WAITING default FIRST_RESOURCES {}
1680726256261885 330513 TASK 31 WAITING default FIRST_RESOURCES {}
1680726256261911 330513 TASK 32 WAITING default FIRST_RESOURCES {}
1680726256261962 330513 TASK 33 WAITING default FIRST_RESOURCES {}
1680726256261990 330513 TASK 34 WAITING default FIRST_RESOURCES {}
1680726256262017 330513 TASK 35 WAITING default FIRST_RESOURCES {}
1680726256262043 330513 TASK 36 WAITING default FIRST_RESOURCES {}
1680726256262070 330513 TASK 37 WAITING default FIRST_RESOURCES {}
1680726256262098 330513 TASK 38 WAITING default FIRST_RESOURCES {}
1680726256262124 330513 TASK 39 WAITING default FIRST_RESOURCES {}
1680726256262149 330513 TASK 40 WAITING default FIRST_RESOURCES {}
