# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680691310907147 235902 MANAGER START
1680691310910873 235902 CATEGORY default MAX {}
1680691310910889 235902 CATEGORY default MIN {}
1680691310910896 235902 CATEGORY default FIRST EXHAUSTIVE_BUCKETING {}
1680691310911047 235902 TASK 1 WAITING default FIRST_RESOURCES {}
1680691310911094 235902 TASK 2 WAITING default FIRST_RESOURCES {}
1680691310911119 235902 TASK 3 WAITING default FIRST_RESOURCES {}
1680691310911146 235902 TASK 4 WAITING default FIRST_RESOURCES {}
1680691310911172 235902 TASK 5 WAITING default FIRST_RESOURCES {}
1680691310911196 235902 TASK 6 WAITING default FIRST_RESOURCES {}
1680691310911221 235902 TASK 7 WAITING default FIRST_RESOURCES {}
1680691310911245 235902 TASK 8 WAITING default FIRST_RESOURCES {}
1680691310911271 235902 TASK 9 WAITING default FIRST_RESOURCES {}
1680691310911296 235902 TASK 10 WAITING default FIRST_RESOURCES {}
1680691310911323 235902 TASK 11 WAITING default FIRST_RESOURCES {}
1680691310911357 235902 TASK 12 WAITING default FIRST_RESOURCES {}
1680691310911396 235902 TASK 13 WAITING default FIRST_RESOURCES {}
1680691310911424 235902 TASK 14 WAITING default FIRST_RESOURCES {}
1680691310911448 235902 TASK 15 WAITING default FIRST_RESOURCES {}
1680691310911474 235902 TASK 16 WAITING default FIRST_RESOURCES {}
1680691310911499 235902 TASK 17 WAITING default FIRST_RESOURCES {}
1680691310911523 235902 TASK 18 WAITING default FIRST_RESOURCES {}
1680691310911547 235902 TASK 19 WAITING default FIRST_RESOURCES {}
1680691310911574 235902 TASK 20 WAITING default FIRST_RESOURCES {}
1680691310911602 235902 TASK 21 WAITING default FIRST_RESOURCES {}
1680691310911635 235902 TASK 22 WAITING default FIRST_RESOURCES {}
1680691310911669 235902 TASK 23 WAITING default FIRST_RESOURCES {}
1680691310911697 235902 TASK 24 WAITING default FIRST_RESOURCES {}
1680691310911724 235902 TASK 25 WAITING default FIRST_RESOURCES {}
1680691310911754 235902 TASK 26 WAITING default FIRST_RESOURCES {}
1680691310911779 235902 TASK 27 WAITING default FIRST_RESOURCES {}
1680691310911803 235902 TASK 28 WAITING default FIRST_RESOURCES {}
1680691310911828 235902 TASK 29 WAITING default FIRST_RESOURCES {}
1680691310911855 235902 TASK 30 WAITING default FIRST_RESOURCES {}
1680691310911879 235902 TASK 31 WAITING default FIRST_RESOURCES {}
1680691310911905 235902 TASK 32 WAITING default FIRST_RESOURCES {}
1680691310911932 235902 TASK 33 WAITING default FIRST_RESOURCES {}
1680691310911958 235902 TASK 34 WAITING default FIRST_RESOURCES {}
1680691310911982 235902 TASK 35 WAITING default FIRST_RESOURCES {}
1680691310912008 235902 TASK 36 WAITING default FIRST_RESOURCES {}
1680691310912035 235902 TASK 37 WAITING default FIRST_RESOURCES {}
1680691310912059 235902 TASK 38 WAITING default FIRST_RESOURCES {}
1680691310912095 235902 TASK 39 WAITING default FIRST_RESOURCES {}
1680691310912129 235902 TASK 40 WAITING default FIRST_RESOURCES {}
1680691310912155 235902 TASK 41 WAITING default FIRST_RESOURCES {}
1680691310912180 235902 TASK 42 WAITING default FIRST_RESOURCES {}
1680691310912207 235902 TASK 43 WAITING default FIRST_RESOURCES {}
1680691310912237 235902 TASK 44 WAITING default FIRST_RESOURCES {}
1680691310912264 235902 TASK 45 WAITING default FIRST_RESOURCES {}
1680691310912290 235902 TASK 46 WAITING default FIRST_RESOURCES {}
1680691310912313 235902 TASK 47 WAITING default FIRST_RESOURCES {}
1680691310912337 235902 TASK 48 WAITING default FIRST_RESOURCES {}
1680691310912360 235902 TASK 49 WAITING default FIRST_RESOURCES {}
1680691310912383 235902 TASK 50 WAITING default FIRST_RESOURCES {}
1680691310912408 235902 TASK 51 WAITING default FIRST_RESOURCES {}
1680691310912434 235902 TASK 52 WAITING default FIRST_RESOURCES {}
1680691310912459 235902 TASK 53 WAITING default FIRST_RESOURCES {}
1680691310912482 235902 TASK 54 WAITING default FIRST_RESOURCES {}
1680691310912517 235902 TASK 55 WAITING default FIRST_RESOURCES {}
1680691310912543 235902 TASK 56 WAITING default FIRST_RESOURCES {}
1680691310912569 235902 TASK 57 WAITING default FIRST_RESOURCES {}
1680691310912592 235902 TASK 58 WAITING default FIRST_RESOURCES {}
1680691310912617 235902 TASK 59 WAITING default FIRST_RESOURCES {}
1680691310912657 235902 TASK 60 WAITING default FIRST_RESOURCES {}
1680691310912684 235902 TASK 61 WAITING default FIRST_RESOURCES {}
1680691310912708 235902 TASK 62 WAITING default FIRST_RESOURCES {}
1680691310912735 235902 TASK 63 WAITING default FIRST_RESOURCES {}
1680691310912764 235902 TASK 64 WAITING default FIRST_RESOURCES {}
1680691310912790 235902 TASK 65 WAITING default FIRST_RESOURCES {}
1680691310912814 235902 TASK 66 WAITING default FIRST_RESOURCES {}
1680691310912841 235902 TASK 67 WAITING default FIRST_RESOURCES {}
1680691310912869 235902 TASK 68 WAITING default FIRST_RESOURCES {}
1680691310912896 235902 TASK 69 WAITING default FIRST_RESOURCES {}
1680691310912940 235902 TASK 70 WAITING default FIRST_RESOURCES {}
1680691310912962 235902 TASK 71 WAITING default FIRST_RESOURCES {}
1680691310912985 235902 TASK 72 WAITING default FIRST_RESOURCES {}
