# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680689007505168 232206 MANAGER START
1680689007510389 232206 CATEGORY default MAX {}
1680689007510406 232206 CATEGORY default MIN {}
1680689007510413 232206 CATEGORY default FIRST GREEDY_BUCKETING {}
1680689007510491 232206 TASK 1 WAITING default FIRST_RESOURCES {}
1680689007510524 232206 TASK 2 WAITING default FIRST_RESOURCES {}
1680689007510548 232206 TASK 3 WAITING default FIRST_RESOURCES {}
1680689007510573 232206 TASK 4 WAITING default FIRST_RESOURCES {}
1680689007510599 232206 TASK 5 WAITING default FIRST_RESOURCES {}
1680689007510628 232206 TASK 6 WAITING default FIRST_RESOURCES {}
1680689007510669 232206 TASK 7 WAITING default FIRST_RESOURCES {}
1680689007510694 232206 TASK 8 WAITING default FIRST_RESOURCES {}
1680689007510723 232206 TASK 9 WAITING default FIRST_RESOURCES {}
1680689007510752 232206 TASK 10 WAITING default FIRST_RESOURCES {}
1680689007510781 232206 TASK 11 WAITING default FIRST_RESOURCES {}
1680689007510807 232206 TASK 12 WAITING default FIRST_RESOURCES {}
1680689007510834 232206 TASK 13 WAITING default FIRST_RESOURCES {}
1680689007510863 232206 TASK 14 WAITING default FIRST_RESOURCES {}
1680689007510888 232206 TASK 15 WAITING default FIRST_RESOURCES {}
1680689007510916 232206 TASK 16 WAITING default FIRST_RESOURCES {}
1680689007510952 232206 TASK 17 WAITING default FIRST_RESOURCES {}
1680689007510976 232206 TASK 18 WAITING default FIRST_RESOURCES {}
1680689007510999 232206 TASK 19 WAITING default FIRST_RESOURCES {}
1680689007511026 232206 TASK 20 WAITING default FIRST_RESOURCES {}
1680689007511054 232206 TASK 21 WAITING default FIRST_RESOURCES {}
