# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1681338636358059 749363 MANAGER START
1681338636365052 749363 CATEGORY default MAX {}
1681338636365065 749363 CATEGORY default MIN {}
1681338636365071 749363 CATEGORY default FIRST MAX {}
1681338636367617 749363 TASK 1 WAITING default FIRST_RESOURCES {}
1681338636367651 749363 TASK 2 WAITING default FIRST_RESOURCES {}
1681338636367676 749363 TASK 3 WAITING default FIRST_RESOURCES {}
1681338636367699 749363 TASK 4 WAITING default FIRST_RESOURCES {}
1681338636367720 749363 TASK 5 WAITING default FIRST_RESOURCES {}
1681338636367741 749363 TASK 6 WAITING default FIRST_RESOURCES {}
1681338636367772 749363 TASK 7 WAITING default FIRST_RESOURCES {}
1681338636367801 749363 TASK 8 WAITING default FIRST_RESOURCES {}
1681338636367819 749363 TASK 9 WAITING default FIRST_RESOURCES {}
1681338636367841 749363 TASK 10 WAITING default FIRST_RESOURCES {}
1681338636367861 749363 TASK 11 WAITING default FIRST_RESOURCES {}
1681338636367880 749363 TASK 12 WAITING default FIRST_RESOURCES {}
1681338636367899 749363 TASK 13 WAITING default FIRST_RESOURCES {}
1681338636367919 749363 TASK 14 WAITING default FIRST_RESOURCES {}
1681338636367940 749363 TASK 15 WAITING default FIRST_RESOURCES {}
1681338636367959 749363 TASK 16 WAITING default FIRST_RESOURCES {}
1681338636367981 749363 TASK 17 WAITING default FIRST_RESOURCES {}
1681338636368000 749363 TASK 18 WAITING default FIRST_RESOURCES {}
