# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680697224101164 246097 MANAGER START
1680697224104648 246097 CATEGORY default MAX {}
1680697224104663 246097 CATEGORY default MIN {}
1680697224104670 246097 CATEGORY default FIRST MAX_THROUGHPUT {}
1680697224104749 246097 TASK 1 WAITING default FIRST_RESOURCES {}
1680697224104784 246097 TASK 2 WAITING default FIRST_RESOURCES {}
1680697224104814 246097 TASK 3 WAITING default FIRST_RESOURCES {}
1680697224104841 246097 TASK 4 WAITING default FIRST_RESOURCES {}
1680697224104869 246097 TASK 5 WAITING default FIRST_RESOURCES {}
1680697224104897 246097 TASK 6 WAITING default FIRST_RESOURCES {}
1680697224104950 246097 TASK 7 WAITING default FIRST_RESOURCES {}
1680697224104986 246097 TASK 8 WAITING default FIRST_RESOURCES {}
1680697224105010 246097 TASK 9 WAITING default FIRST_RESOURCES {}
1680697224105035 246097 TASK 10 WAITING default FIRST_RESOURCES {}
1680697224105062 246097 TASK 11 WAITING default FIRST_RESOURCES {}
1680697224105085 246097 TASK 12 WAITING default FIRST_RESOURCES {}
1680697224105111 246097 TASK 13 WAITING default FIRST_RESOURCES {}
1680697224105136 246097 TASK 14 WAITING default FIRST_RESOURCES {}
1680697224105161 246097 TASK 15 WAITING default FIRST_RESOURCES {}
1680697224105184 246097 TASK 16 WAITING default FIRST_RESOURCES {}
1680697224105209 246097 TASK 17 WAITING default FIRST_RESOURCES {}
1680697224105232 246097 TASK 18 WAITING default FIRST_RESOURCES {}
1680697224105255 246097 TASK 19 WAITING default FIRST_RESOURCES {}
1680697224105277 246097 TASK 20 WAITING default FIRST_RESOURCES {}
1680697224105302 246097 TASK 21 WAITING default FIRST_RESOURCES {}
1680697224105339 246097 TASK 22 WAITING default FIRST_RESOURCES {}
1680697224105381 246097 TASK 23 WAITING default FIRST_RESOURCES {}
1680697224105406 246097 TASK 24 WAITING default FIRST_RESOURCES {}
1680697224105434 246097 TASK 25 WAITING default FIRST_RESOURCES {}
1680697224105462 246097 TASK 26 WAITING default FIRST_RESOURCES {}
1680697224105491 246097 TASK 27 WAITING default FIRST_RESOURCES {}
1680697224105516 246097 TASK 28 WAITING default FIRST_RESOURCES {}
1680697224105542 246097 TASK 29 WAITING default FIRST_RESOURCES {}
1680697224105567 246097 TASK 30 WAITING default FIRST_RESOURCES {}
1680697224105596 246097 TASK 31 WAITING default FIRST_RESOURCES {}
1680697224105629 246097 TASK 32 WAITING default FIRST_RESOURCES {}
1680697224105659 246097 TASK 33 WAITING default FIRST_RESOURCES {}
1680697224105688 246097 TASK 34 WAITING default FIRST_RESOURCES {}
1680697224105717 246097 TASK 35 WAITING default FIRST_RESOURCES {}
1680697224105743 246097 TASK 36 WAITING default FIRST_RESOURCES {}
1680697224105771 246097 TASK 37 WAITING default FIRST_RESOURCES {}
1680697224105799 246097 TASK 38 WAITING default FIRST_RESOURCES {}
1680697224105825 246097 TASK 39 WAITING default FIRST_RESOURCES {}
1680697224105850 246097 TASK 40 WAITING default FIRST_RESOURCES {}
1680697224105875 246097 TASK 41 WAITING default FIRST_RESOURCES {}
