# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680693599267921 240443 MANAGER START
1680693599271433 240443 CATEGORY default MAX {}
1680693599271447 240443 CATEGORY default MIN {}
1680693599271453 240443 CATEGORY default FIRST MIN_WASTE {}
1680693599271527 240443 TASK 1 WAITING default FIRST_RESOURCES {}
1680693599271559 240443 TASK 2 WAITING default FIRST_RESOURCES {}
1680693599271587 240443 TASK 3 WAITING default FIRST_RESOURCES {}
1680693599271611 240443 TASK 4 WAITING default FIRST_RESOURCES {}
1680693599271676 240443 TASK 5 WAITING default FIRST_RESOURCES {}
1680693599271706 240443 TASK 6 WAITING default FIRST_RESOURCES {}
1680693599271730 240443 TASK 7 WAITING default FIRST_RESOURCES {}
1680693599271755 240443 TASK 8 WAITING default FIRST_RESOURCES {}
1680693599271780 240443 TASK 9 WAITING default FIRST_RESOURCES {}
1680693599271806 240443 TASK 10 WAITING default FIRST_RESOURCES {}
1680693599271833 240443 TASK 11 WAITING default FIRST_RESOURCES {}
1680693599271858 240443 TASK 12 WAITING default FIRST_RESOURCES {}
1680693599271884 240443 TASK 13 WAITING default FIRST_RESOURCES {}
1680693599271910 240443 TASK 14 WAITING default FIRST_RESOURCES {}
1680693599271948 240443 TASK 15 WAITING default FIRST_RESOURCES {}
1680693599271972 240443 TASK 16 WAITING default FIRST_RESOURCES {}
1680693599271997 240443 TASK 17 WAITING default FIRST_RESOURCES {}
1680693599272020 240443 TASK 18 WAITING default FIRST_RESOURCES {}
1680693599272043 240443 TASK 19 WAITING default FIRST_RESOURCES {}
1680693599272066 240443 TASK 20 WAITING default FIRST_RESOURCES {}
1680693599272103 240443 TASK 21 WAITING default FIRST_RESOURCES {}
1680693599272130 240443 TASK 22 WAITING default FIRST_RESOURCES {}
1680693599272167 240443 TASK 23 WAITING default FIRST_RESOURCES {}
1680693599272191 240443 TASK 24 WAITING default FIRST_RESOURCES {}
1680693599272217 240443 TASK 25 WAITING default FIRST_RESOURCES {}
1680693599272244 240443 TASK 26 WAITING default FIRST_RESOURCES {}
1680693599272270 240443 TASK 27 WAITING default FIRST_RESOURCES {}
1680693599272293 240443 TASK 28 WAITING default FIRST_RESOURCES {}
1680693599272316 240443 TASK 29 WAITING default FIRST_RESOURCES {}
1680693599272340 240443 TASK 30 WAITING default FIRST_RESOURCES {}
1680693599272366 240443 TASK 31 WAITING default FIRST_RESOURCES {}
1680693599272390 240443 TASK 32 WAITING default FIRST_RESOURCES {}
1680693599272417 240443 TASK 33 WAITING default FIRST_RESOURCES {}
1680693599272443 240443 TASK 34 WAITING default FIRST_RESOURCES {}
1680693599272481 240443 TASK 35 WAITING default FIRST_RESOURCES {}
1680693599272505 240443 TASK 36 WAITING default FIRST_RESOURCES {}
1680693599272532 240443 TASK 37 WAITING default FIRST_RESOURCES {}
1680693599272559 240443 TASK 38 WAITING default FIRST_RESOURCES {}
1680693599272583 240443 TASK 39 WAITING default FIRST_RESOURCES {}
1680693599272607 240443 TASK 40 WAITING default FIRST_RESOURCES {}
1680693599272637 240443 TASK 41 WAITING default FIRST_RESOURCES {}
1680693599272665 240443 TASK 42 WAITING default FIRST_RESOURCES {}
1680693599272701 240443 TASK 43 WAITING default FIRST_RESOURCES {}
1680693599272733 240443 TASK 44 WAITING default FIRST_RESOURCES {}
1680693599272761 240443 TASK 45 WAITING default FIRST_RESOURCES {}
1680693599272790 240443 TASK 46 WAITING default FIRST_RESOURCES {}
1680693599272817 240443 TASK 47 WAITING default FIRST_RESOURCES {}
1680693599272841 240443 TASK 48 WAITING default FIRST_RESOURCES {}
1680693599272868 240443 TASK 49 WAITING default FIRST_RESOURCES {}
1680693599272892 240443 TASK 50 WAITING default FIRST_RESOURCES {}
1680693599272916 240443 TASK 51 WAITING default FIRST_RESOURCES {}
1680693599272944 240443 TASK 52 WAITING default FIRST_RESOURCES {}
1680693599272972 240443 TASK 53 WAITING default FIRST_RESOURCES {}
1680693599272997 240443 TASK 54 WAITING default FIRST_RESOURCES {}
1680693599273024 240443 TASK 55 WAITING default FIRST_RESOURCES {}
1680693599273051 240443 TASK 56 WAITING default FIRST_RESOURCES {}
1680693599273078 240443 TASK 57 WAITING default FIRST_RESOURCES {}
1680693599273103 240443 TASK 58 WAITING default FIRST_RESOURCES {}
1680693599273129 240443 TASK 59 WAITING default FIRST_RESOURCES {}
1680693599273156 240443 TASK 60 WAITING default FIRST_RESOURCES {}
1680693599273180 240443 TASK 61 WAITING default FIRST_RESOURCES {}
1680693599273204 240443 TASK 62 WAITING default FIRST_RESOURCES {}
1680693599273231 240443 TASK 63 WAITING default FIRST_RESOURCES {}
1680693599273258 240443 TASK 64 WAITING default FIRST_RESOURCES {}
1680693599273285 240443 TASK 65 WAITING default FIRST_RESOURCES {}
1680693599273309 240443 TASK 66 WAITING default FIRST_RESOURCES {}
1680693599273353 240443 TASK 67 WAITING default FIRST_RESOURCES {}
1680693599273400 240443 TASK 68 WAITING default FIRST_RESOURCES {}
1680693599273426 240443 TASK 69 WAITING default FIRST_RESOURCES {}
1680693599273447 240443 TASK 70 WAITING default FIRST_RESOURCES {}
1680693599273471 240443 TASK 71 WAITING default FIRST_RESOURCES {}
1680693599273493 240443 TASK 72 WAITING default FIRST_RESOURCES {}
1680693599273516 240443 TASK 73 WAITING default FIRST_RESOURCES {}
1680693599273538 240443 TASK 74 WAITING default FIRST_RESOURCES {}
1680693599273562 240443 TASK 75 WAITING default FIRST_RESOURCES {}
1680693599273586 240443 TASK 76 WAITING default FIRST_RESOURCES {}
