# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680668723681322 198922 MANAGER START
1680668723686390 198922 CATEGORY default MAX {}
1680668723686408 198922 CATEGORY default MIN {}
1680668723686414 198922 CATEGORY default FIRST EXHAUSTIVE_BUCKETING {}
1680668723686493 198922 TASK 1 WAITING default FIRST_RESOURCES {}
1680668723686525 198922 TASK 2 WAITING default FIRST_RESOURCES {}
1680668723686550 198922 TASK 3 WAITING default FIRST_RESOURCES {}
1680668723686575 198922 TASK 4 WAITING default FIRST_RESOURCES {}
1680668723686603 198922 TASK 5 WAITING default FIRST_RESOURCES {}
1680668723686653 198922 TASK 6 WAITING default FIRST_RESOURCES {}
1680668723686682 198922 TASK 7 WAITING default FIRST_RESOURCES {}
1680668723686707 198922 TASK 8 WAITING default FIRST_RESOURCES {}
1680668723686736 198922 TASK 9 WAITING default FIRST_RESOURCES {}
1680668723686764 198922 TASK 10 WAITING default FIRST_RESOURCES {}
1680668723686794 198922 TASK 11 WAITING default FIRST_RESOURCES {}
1680668723686819 198922 TASK 12 WAITING default FIRST_RESOURCES {}
1680668723686847 198922 TASK 13 WAITING default FIRST_RESOURCES {}
1680668723686875 198922 TASK 14 WAITING default FIRST_RESOURCES {}
1680668723686901 198922 TASK 15 WAITING default FIRST_RESOURCES {}
1680668723686928 198922 TASK 16 WAITING default FIRST_RESOURCES {}
1680668723686977 198922 TASK 17 WAITING default FIRST_RESOURCES {}
1680668723686998 198922 TASK 18 WAITING default FIRST_RESOURCES {}
1680668723687021 198922 TASK 19 WAITING default FIRST_RESOURCES {}
1680668723687047 198922 TASK 20 WAITING default FIRST_RESOURCES {}
1680668723687073 198922 TASK 21 WAITING default FIRST_RESOURCES {}
1680668723687099 198922 TASK 22 WAITING default FIRST_RESOURCES {}
1680668723687133 198922 TASK 23 WAITING default FIRST_RESOURCES {}
1680668723687159 198922 TASK 24 WAITING default FIRST_RESOURCES {}
1680668723687185 198922 TASK 25 WAITING default FIRST_RESOURCES {}
1680668723687212 198922 TASK 26 WAITING default FIRST_RESOURCES {}
1680668723687236 198922 TASK 27 WAITING default FIRST_RESOURCES {}
1680668723687259 198922 TASK 28 WAITING default FIRST_RESOURCES {}
1680668723687283 198922 TASK 29 WAITING default FIRST_RESOURCES {}
1680668723687322 198922 TASK 30 WAITING default FIRST_RESOURCES {}
1680668723687360 198922 TASK 31 WAITING default FIRST_RESOURCES {}
1680668723687389 198922 TASK 32 WAITING default FIRST_RESOURCES {}
1680668723687416 198922 TASK 33 WAITING default FIRST_RESOURCES {}
1680668723687444 198922 TASK 34 WAITING default FIRST_RESOURCES {}
1680668723687470 198922 TASK 35 WAITING default FIRST_RESOURCES {}
1680668723687497 198922 TASK 36 WAITING default FIRST_RESOURCES {}
1680668723687525 198922 TASK 37 WAITING default FIRST_RESOURCES {}
1680668723687550 198922 TASK 38 WAITING default FIRST_RESOURCES {}
1680668723687575 198922 TASK 39 WAITING default FIRST_RESOURCES {}
1680668723687600 198922 TASK 40 WAITING default FIRST_RESOURCES {}
1680668723687634 198922 TASK 41 WAITING default FIRST_RESOURCES {}
1680668723687665 198922 TASK 42 WAITING default FIRST_RESOURCES {}
1680668723687701 198922 TASK 43 WAITING default FIRST_RESOURCES {}
1680668723687739 198922 TASK 44 WAITING default FIRST_RESOURCES {}
1680668723687770 198922 TASK 45 WAITING default FIRST_RESOURCES {}
1680668723687799 198922 TASK 46 WAITING default FIRST_RESOURCES {}
1680668723687824 198922 TASK 47 WAITING default FIRST_RESOURCES {}
1680668723687851 198922 TASK 48 WAITING default FIRST_RESOURCES {}
1680668723687876 198922 TASK 49 WAITING default FIRST_RESOURCES {}
1680668723687901 198922 TASK 50 WAITING default FIRST_RESOURCES {}
1680668723687942 198922 TASK 51 WAITING default FIRST_RESOURCES {}
