# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680664926506529 162950 MANAGER START
1680664926510214 162950 CATEGORY default MAX {}
1680664926510231 162950 CATEGORY default MIN {}
1680664926510239 162950 CATEGORY default FIRST GREEDY_BUCKETING {}
1680664926510338 162950 TASK 1 WAITING default FIRST_RESOURCES {}
1680664926510370 162950 TASK 2 WAITING default FIRST_RESOURCES {}
1680664926510395 162950 TASK 3 WAITING default FIRST_RESOURCES {}
1680664926510445 162950 TASK 4 WAITING default FIRST_RESOURCES {}
1680664926510473 162950 TASK 5 WAITING default FIRST_RESOURCES {}
1680664926510498 162950 TASK 6 WAITING default FIRST_RESOURCES {}
1680664926510524 162950 TASK 7 WAITING default FIRST_RESOURCES {}
1680664926510548 162950 TASK 8 WAITING default FIRST_RESOURCES {}
1680664926510575 162950 TASK 9 WAITING default FIRST_RESOURCES {}
1680664926510602 162950 TASK 10 WAITING default FIRST_RESOURCES {}
1680664926510635 162950 TASK 11 WAITING default FIRST_RESOURCES {}
1680664926510661 162950 TASK 12 WAITING default FIRST_RESOURCES {}
1680664926510688 162950 TASK 13 WAITING default FIRST_RESOURCES {}
1680664926510716 162950 TASK 14 WAITING default FIRST_RESOURCES {}
1680664926510741 162950 TASK 15 WAITING default FIRST_RESOURCES {}
1680664926510767 162950 TASK 16 WAITING default FIRST_RESOURCES {}
1680664926510792 162950 TASK 17 WAITING default FIRST_RESOURCES {}
1680664926510816 162950 TASK 18 WAITING default FIRST_RESOURCES {}
1680664926510841 162950 TASK 19 WAITING default FIRST_RESOURCES {}
1680664926510867 162950 TASK 20 WAITING default FIRST_RESOURCES {}
