# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1681332799863836 712395 MANAGER START
1681332799870286 712395 CATEGORY default MAX {}
1681332799870299 712395 CATEGORY default MIN {}
1681332799870305 712395 CATEGORY default FIRST MAX {}
1681332799873378 712395 TASK 1 WAITING default FIRST_RESOURCES {}
1681332799873413 712395 TASK 2 WAITING default FIRST_RESOURCES {}
1681332799873437 712395 TASK 3 WAITING default FIRST_RESOURCES {}
1681332799873459 712395 TASK 4 WAITING default FIRST_RESOURCES {}
1681332799873479 712395 TASK 5 WAITING default FIRST_RESOURCES {}
1681332799873499 712395 TASK 6 WAITING default FIRST_RESOURCES {}
1681332799873519 712395 TASK 7 WAITING default FIRST_RESOURCES {}
1681332799873539 712395 TASK 8 WAITING default FIRST_RESOURCES {}
1681332799873559 712395 TASK 9 WAITING default FIRST_RESOURCES {}
1681332799873580 712395 TASK 10 WAITING default FIRST_RESOURCES {}
1681332799873601 712395 TASK 11 WAITING default FIRST_RESOURCES {}
1681332799873621 712395 TASK 12 WAITING default FIRST_RESOURCES {}
1681332799873652 712395 TASK 13 WAITING default FIRST_RESOURCES {}
1681332799873672 712395 TASK 14 WAITING default FIRST_RESOURCES {}
1681332799873692 712395 TASK 15 WAITING default FIRST_RESOURCES {}
1681332799873709 712395 TASK 16 WAITING default FIRST_RESOURCES {}
1681332799873728 712395 TASK 17 WAITING default FIRST_RESOURCES {}
1681332799873746 712395 TASK 18 WAITING default FIRST_RESOURCES {}
1681332799873762 712395 TASK 19 WAITING default FIRST_RESOURCES {}
1681332799873779 712395 TASK 20 WAITING default FIRST_RESOURCES {}
1681332799873813 712395 TASK 21 WAITING default FIRST_RESOURCES {}
1681332799873835 712395 TASK 22 WAITING default FIRST_RESOURCES {}
1681332799873869 712395 TASK 23 WAITING default FIRST_RESOURCES {}
1681332799873888 712395 TASK 24 WAITING default FIRST_RESOURCES {}
1681332799873910 712395 TASK 25 WAITING default FIRST_RESOURCES {}
1681332799873932 712395 TASK 26 WAITING default FIRST_RESOURCES {}
1681332799873953 712395 TASK 27 WAITING default FIRST_RESOURCES {}
1681332799873972 712395 TASK 28 WAITING default FIRST_RESOURCES {}
1681332799873990 712395 TASK 29 WAITING default FIRST_RESOURCES {}
1681332799874009 712395 TASK 30 WAITING default FIRST_RESOURCES {}
1681332799874030 712395 TASK 31 WAITING default FIRST_RESOURCES {}
1681332799874053 712395 TASK 32 WAITING default FIRST_RESOURCES {}
1681332799874072 712395 TASK 33 WAITING default FIRST_RESOURCES {}
1681332799874093 712395 TASK 34 WAITING default FIRST_RESOURCES {}
1681332799874115 712395 TASK 35 WAITING default FIRST_RESOURCES {}
1681332799874161 712395 TASK 36 WAITING default FIRST_RESOURCES {}
1681332799874178 712395 TASK 37 WAITING default FIRST_RESOURCES {}
1681332799874197 712395 TASK 38 WAITING default FIRST_RESOURCES {}
1681332799874214 712395 TASK 39 WAITING default FIRST_RESOURCES {}
1681332799874231 712395 TASK 40 WAITING default FIRST_RESOURCES {}
1681332799874248 712395 TASK 41 WAITING default FIRST_RESOURCES {}
1681332799874267 712395 TASK 42 WAITING default FIRST_RESOURCES {}
1681332799874297 712395 TASK 43 WAITING default FIRST_RESOURCES {}
1681332799874332 712395 TASK 44 WAITING default FIRST_RESOURCES {}
1681332799874368 712395 TASK 45 WAITING default FIRST_RESOURCES {}
1681332799874390 712395 TASK 46 WAITING default FIRST_RESOURCES {}
1681332799874413 712395 TASK 47 WAITING default FIRST_RESOURCES {}
1681332799874433 712395 TASK 48 WAITING default FIRST_RESOURCES {}
1681332799874457 712395 TASK 49 WAITING default FIRST_RESOURCES {}
1681332799874476 712395 TASK 50 WAITING default FIRST_RESOURCES {}
1681332799874495 712395 TASK 51 WAITING default FIRST_RESOURCES {}
1681332799874518 712395 TASK 52 WAITING default FIRST_RESOURCES {}
1681332799874542 712395 TASK 53 WAITING default FIRST_RESOURCES {}
