# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680675509131721 210114 MANAGER START
1680675509135365 210114 CATEGORY default MAX {}
1680675509135388 210114 CATEGORY default MIN {}
1680675509135395 210114 CATEGORY default FIRST MAX_THROUGHPUT {}
1680675509135467 210114 TASK 1 WAITING default FIRST_RESOURCES {}
1680675509135497 210114 TASK 2 WAITING default FIRST_RESOURCES {}
1680675509135523 210114 TASK 3 WAITING default FIRST_RESOURCES {}
1680675509135545 210114 TASK 4 WAITING default FIRST_RESOURCES {}
1680675509135569 210114 TASK 5 WAITING default FIRST_RESOURCES {}
1680675509135593 210114 TASK 6 WAITING default FIRST_RESOURCES {}
1680675509135615 210114 TASK 7 WAITING default FIRST_RESOURCES {}
1680675509135701 210114 TASK 8 WAITING default FIRST_RESOURCES {}
1680675509135728 210114 TASK 9 WAITING default FIRST_RESOURCES {}
1680675509135756 210114 TASK 10 WAITING default FIRST_RESOURCES {}
1680675509135784 210114 TASK 11 WAITING default FIRST_RESOURCES {}
1680675509135809 210114 TASK 12 WAITING default FIRST_RESOURCES {}
1680675509135835 210114 TASK 13 WAITING default FIRST_RESOURCES {}
1680675509135862 210114 TASK 14 WAITING default FIRST_RESOURCES {}
1680675509135889 210114 TASK 15 WAITING default FIRST_RESOURCES {}
1680675509135913 210114 TASK 16 WAITING default FIRST_RESOURCES {}
1680675509135971 210114 TASK 17 WAITING default FIRST_RESOURCES {}
1680675509135993 210114 TASK 18 WAITING default FIRST_RESOURCES {}
1680675509136014 210114 TASK 19 WAITING default FIRST_RESOURCES {}
1680675509136036 210114 TASK 20 WAITING default FIRST_RESOURCES {}
1680675509136059 210114 TASK 21 WAITING default FIRST_RESOURCES {}
1680675509136084 210114 TASK 22 WAITING default FIRST_RESOURCES {}
1680675509136108 210114 TASK 23 WAITING default FIRST_RESOURCES {}
1680675509136130 210114 TASK 24 WAITING default FIRST_RESOURCES {}
1680675509136153 210114 TASK 25 WAITING default FIRST_RESOURCES {}
1680675509136177 210114 TASK 26 WAITING default FIRST_RESOURCES {}
1680675509136200 210114 TASK 27 WAITING default FIRST_RESOURCES {}
1680675509136223 210114 TASK 28 WAITING default FIRST_RESOURCES {}
1680675509136244 210114 TASK 29 WAITING default FIRST_RESOURCES {}
1680675509136266 210114 TASK 30 WAITING default FIRST_RESOURCES {}
1680675509136289 210114 TASK 31 WAITING default FIRST_RESOURCES {}
1680675509136310 210114 TASK 32 WAITING default FIRST_RESOURCES {}
1680675509136334 210114 TASK 33 WAITING default FIRST_RESOURCES {}
1680675509136357 210114 TASK 34 WAITING default FIRST_RESOURCES {}
1680675509136382 210114 TASK 35 WAITING default FIRST_RESOURCES {}
1680675509136403 210114 TASK 36 WAITING default FIRST_RESOURCES {}
1680675509136427 210114 TASK 37 WAITING default FIRST_RESOURCES {}
1680675509136450 210114 TASK 38 WAITING default FIRST_RESOURCES {}
1680675509136471 210114 TASK 39 WAITING default FIRST_RESOURCES {}
1680675509136493 210114 TASK 40 WAITING default FIRST_RESOURCES {}
1680675509136514 210114 TASK 41 WAITING default FIRST_RESOURCES {}
1680675509136537 210114 TASK 42 WAITING default FIRST_RESOURCES {}
1680675509136567 210114 TASK 43 WAITING default FIRST_RESOURCES {}
