# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1681745498394863 1474515 MANAGER START
1681745498398750 1474515 CATEGORY default MAX {}
1681745498398764 1474515 CATEGORY default MIN {}
1681745498398771 1474515 CATEGORY default FIRST MIN_WASTE {}
1681745498400759 1474515 TASK 1 WAITING default FIRST_RESOURCES {}
1681745498400807 1474515 TASK 2 WAITING default FIRST_RESOURCES {}
1681745498400831 1474515 TASK 3 WAITING default FIRST_RESOURCES {}
1681745498400854 1474515 TASK 4 WAITING default FIRST_RESOURCES {}
1681745498400875 1474515 TASK 5 WAITING default FIRST_RESOURCES {}
1681745498400896 1474515 TASK 6 WAITING default FIRST_RESOURCES {}
1681745498400916 1474515 TASK 7 WAITING default FIRST_RESOURCES {}
1681745498400936 1474515 TASK 8 WAITING default FIRST_RESOURCES {}
1681745498400969 1474515 TASK 9 WAITING default FIRST_RESOURCES {}
1681745498400990 1474515 TASK 10 WAITING default FIRST_RESOURCES {}
1681745498401011 1474515 TASK 11 WAITING default FIRST_RESOURCES {}
1681745498401031 1474515 TASK 12 WAITING default FIRST_RESOURCES {}
1681745498401051 1474515 TASK 13 WAITING default FIRST_RESOURCES {}
1681745498401095 1474515 TASK 14 WAITING default FIRST_RESOURCES {}
1681745498401114 1474515 TASK 15 WAITING default FIRST_RESOURCES {}
1681745498401132 1474515 TASK 16 WAITING default FIRST_RESOURCES {}
1681745498401150 1474515 TASK 17 WAITING default FIRST_RESOURCES {}
1681745498401169 1474515 TASK 18 WAITING default FIRST_RESOURCES {}
