# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680706002394830 265054 MANAGER START
1680706002399770 265054 CATEGORY default MAX {}
1680706002399786 265054 CATEGORY default MIN {}
1680706002399793 265054 CATEGORY default FIRST EXHAUSTIVE_BUCKETING {}
1680706002399863 265054 TASK 1 WAITING default FIRST_RESOURCES {}
1680706002399896 265054 TASK 2 WAITING default FIRST_RESOURCES {}
1680706002399934 265054 TASK 3 WAITING default FIRST_RESOURCES {}
1680706002399960 265054 TASK 4 WAITING default FIRST_RESOURCES {}
1680706002400007 265054 TASK 5 WAITING default FIRST_RESOURCES {}
1680706002400044 265054 TASK 6 WAITING default FIRST_RESOURCES {}
1680706002400069 265054 TASK 7 WAITING default FIRST_RESOURCES {}
1680706002400094 265054 TASK 8 WAITING default FIRST_RESOURCES {}
1680706002400121 265054 TASK 9 WAITING default FIRST_RESOURCES {}
1680706002400148 265054 TASK 10 WAITING default FIRST_RESOURCES {}
1680706002400175 265054 TASK 11 WAITING default FIRST_RESOURCES {}
1680706002400200 265054 TASK 12 WAITING default FIRST_RESOURCES {}
1680706002400227 265054 TASK 13 WAITING default FIRST_RESOURCES {}
1680706002400253 265054 TASK 14 WAITING default FIRST_RESOURCES {}
1680706002400278 265054 TASK 15 WAITING default FIRST_RESOURCES {}
1680706002400304 265054 TASK 16 WAITING default FIRST_RESOURCES {}
1680706002400343 265054 TASK 17 WAITING default FIRST_RESOURCES {}
1680706002400366 265054 TASK 18 WAITING default FIRST_RESOURCES {}
1680706002400399 265054 TASK 19 WAITING default FIRST_RESOURCES {}
1680706002400434 265054 TASK 20 WAITING default FIRST_RESOURCES {}
1680706002400460 265054 TASK 21 WAITING default FIRST_RESOURCES {}
1680706002400484 265054 TASK 22 WAITING default FIRST_RESOURCES {}
1680706002400506 265054 TASK 23 WAITING default FIRST_RESOURCES {}
1680706002400529 265054 TASK 24 WAITING default FIRST_RESOURCES {}
1680706002400553 265054 TASK 25 WAITING default FIRST_RESOURCES {}
1680706002400576 265054 TASK 26 WAITING default FIRST_RESOURCES {}
1680706002400598 265054 TASK 27 WAITING default FIRST_RESOURCES {}
1680706002400624 265054 TASK 28 WAITING default FIRST_RESOURCES {}
1680706002400661 265054 TASK 29 WAITING default FIRST_RESOURCES {}
1680706002400689 265054 TASK 30 WAITING default FIRST_RESOURCES {}
1680706002400715 265054 TASK 31 WAITING default FIRST_RESOURCES {}
1680706002400740 265054 TASK 32 WAITING default FIRST_RESOURCES {}
1680706002400767 265054 TASK 33 WAITING default FIRST_RESOURCES {}
1680706002400794 265054 TASK 34 WAITING default FIRST_RESOURCES {}
1680706002400821 265054 TASK 35 WAITING default FIRST_RESOURCES {}
1680706002400845 265054 TASK 36 WAITING default FIRST_RESOURCES {}
1680706002400871 265054 TASK 37 WAITING default FIRST_RESOURCES {}
1680706002400896 265054 TASK 38 WAITING default FIRST_RESOURCES {}
1680706002400920 265054 TASK 39 WAITING default FIRST_RESOURCES {}
1680706002400956 265054 TASK 40 WAITING default FIRST_RESOURCES {}
1680706002400992 265054 TASK 41 WAITING default FIRST_RESOURCES {}
1680706002401017 265054 TASK 42 WAITING default FIRST_RESOURCES {}
1680706002401057 265054 TASK 43 WAITING default FIRST_RESOURCES {}
1680706002401090 265054 TASK 44 WAITING default FIRST_RESOURCES {}
1680706002401129 265054 TASK 45 WAITING default FIRST_RESOURCES {}
1680706002401155 265054 TASK 46 WAITING default FIRST_RESOURCES {}
1680706002401178 265054 TASK 47 WAITING default FIRST_RESOURCES {}
1680706002401203 265054 TASK 48 WAITING default FIRST_RESOURCES {}
1680706002401226 265054 TASK 49 WAITING default FIRST_RESOURCES {}
1680706002401249 265054 TASK 50 WAITING default FIRST_RESOURCES {}
1680706002401275 265054 TASK 51 WAITING default FIRST_RESOURCES {}
1680706002401301 265054 TASK 52 WAITING default FIRST_RESOURCES {}
1680706002401334 265054 TASK 53 WAITING default FIRST_RESOURCES {}
1680706002401357 265054 TASK 54 WAITING default FIRST_RESOURCES {}
1680706002401382 265054 TASK 55 WAITING default FIRST_RESOURCES {}
1680706002401408 265054 TASK 56 WAITING default FIRST_RESOURCES {}
1680706002401434 265054 TASK 57 WAITING default FIRST_RESOURCES {}
1680706002401456 265054 TASK 58 WAITING default FIRST_RESOURCES {}
1680706002401482 265054 TASK 59 WAITING default FIRST_RESOURCES {}
1680706002401505 265054 TASK 60 WAITING default FIRST_RESOURCES {}
1680706002401530 265054 TASK 61 WAITING default FIRST_RESOURCES {}
1680706002401553 265054 TASK 62 WAITING default FIRST_RESOURCES {}
1680706002401577 265054 TASK 63 WAITING default FIRST_RESOURCES {}
1680706002401614 265054 TASK 64 WAITING default FIRST_RESOURCES {}
1680706002401657 265054 TASK 65 WAITING default FIRST_RESOURCES {}
1680706002401682 265054 TASK 66 WAITING default FIRST_RESOURCES {}
1680706002401709 265054 TASK 67 WAITING default FIRST_RESOURCES {}
1680706002401738 265054 TASK 68 WAITING default FIRST_RESOURCES {}
1680706002401765 265054 TASK 69 WAITING default FIRST_RESOURCES {}
1680706002401789 265054 TASK 70 WAITING default FIRST_RESOURCES {}
1680706002401813 265054 TASK 71 WAITING default FIRST_RESOURCES {}
1680706002401840 265054 TASK 72 WAITING default FIRST_RESOURCES {}
1680706002401866 265054 TASK 73 WAITING default FIRST_RESOURCES {}
1680706002401891 265054 TASK 74 WAITING default FIRST_RESOURCES {}
1680706002401917 265054 TASK 75 WAITING default FIRST_RESOURCES {}
1680706002401984 265054 TASK 76 WAITING default FIRST_RESOURCES {}
1680706002402019 265054 TASK 77 WAITING default FIRST_RESOURCES {}
1680706002402046 265054 TASK 78 WAITING default FIRST_RESOURCES {}
1680706002402073 265054 TASK 79 WAITING default FIRST_RESOURCES {}
1680706002402100 265054 TASK 80 WAITING default FIRST_RESOURCES {}
1680706002402124 265054 TASK 81 WAITING default FIRST_RESOURCES {}
1680706002402148 265054 TASK 82 WAITING default FIRST_RESOURCES {}
1680706002402174 265054 TASK 83 WAITING default FIRST_RESOURCES {}
1680706002402213 265054 TASK 84 WAITING default FIRST_RESOURCES {}
1680706002402258 265054 TASK 85 WAITING default FIRST_RESOURCES {}
1680706002402285 265054 TASK 86 WAITING default FIRST_RESOURCES {}
1680706002402310 265054 TASK 87 WAITING default FIRST_RESOURCES {}
1680706002402335 265054 TASK 88 WAITING default FIRST_RESOURCES {}
1680706002402356 265054 TASK 89 WAITING default FIRST_RESOURCES {}
1680706002402379 265054 TASK 90 WAITING default FIRST_RESOURCES {}
1680706002402404 265054 TASK 91 WAITING default FIRST_RESOURCES {}
1680706002402426 265054 TASK 92 WAITING default FIRST_RESOURCES {}
1680706002402447 265054 TASK 93 WAITING default FIRST_RESOURCES {}
1680706002402475 265054 TASK 94 WAITING default FIRST_RESOURCES {}
1680706002402510 265054 TASK 95 WAITING default FIRST_RESOURCES {}
1680706002402536 265054 TASK 96 WAITING default FIRST_RESOURCES {}
1680706002402579 265054 TASK 97 WAITING default FIRST_RESOURCES {}
1680706002402605 265054 TASK 98 WAITING default FIRST_RESOURCES {}
1680706002402658 265054 TASK 99 WAITING default FIRST_RESOURCES {}
1680706002402686 265054 TASK 100 WAITING default FIRST_RESOURCES {}
1680706002402713 265054 TASK 101 WAITING default FIRST_RESOURCES {}
1680706002402737 265054 TASK 102 WAITING default FIRST_RESOURCES {}
