# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680703874291707 261314 MANAGER START
1680703874296902 261314 CATEGORY default MAX {}
1680703874296929 261314 CATEGORY default MIN {}
1680703874296947 261314 CATEGORY default FIRST GREEDY_BUCKETING {}
1680703874297023 261314 TASK 1 WAITING default FIRST_RESOURCES {}
1680703874297056 261314 TASK 2 WAITING default FIRST_RESOURCES {}
1680703874297080 261314 TASK 3 WAITING default FIRST_RESOURCES {}
1680703874297104 261314 TASK 4 WAITING default FIRST_RESOURCES {}
1680703874297129 261314 TASK 5 WAITING default FIRST_RESOURCES {}
1680703874297152 261314 TASK 6 WAITING default FIRST_RESOURCES {}
1680703874297175 261314 TASK 7 WAITING default FIRST_RESOURCES {}
1680703874297197 261314 TASK 8 WAITING default FIRST_RESOURCES {}
1680703874297221 261314 TASK 9 WAITING default FIRST_RESOURCES {}
1680703874297244 261314 TASK 10 WAITING default FIRST_RESOURCES {}
1680703874297268 261314 TASK 11 WAITING default FIRST_RESOURCES {}
1680703874297305 261314 TASK 12 WAITING default FIRST_RESOURCES {}
1680703874297329 261314 TASK 13 WAITING default FIRST_RESOURCES {}
1680703874297352 261314 TASK 14 WAITING default FIRST_RESOURCES {}
1680703874297374 261314 TASK 15 WAITING default FIRST_RESOURCES {}
1680703874297397 261314 TASK 16 WAITING default FIRST_RESOURCES {}
1680703874297420 261314 TASK 17 WAITING default FIRST_RESOURCES {}
1680703874297441 261314 TASK 18 WAITING default FIRST_RESOURCES {}
1680703874297462 261314 TASK 19 WAITING default FIRST_RESOURCES {}
1680703874297487 261314 TASK 20 WAITING default FIRST_RESOURCES {}
1680703874297512 261314 TASK 21 WAITING default FIRST_RESOURCES {}
1680703874297536 261314 TASK 22 WAITING default FIRST_RESOURCES {}
1680703874297558 261314 TASK 23 WAITING default FIRST_RESOURCES {}
1680703874297581 261314 TASK 24 WAITING default FIRST_RESOURCES {}
1680703874297604 261314 TASK 25 WAITING default FIRST_RESOURCES {}
1680703874297645 261314 TASK 26 WAITING default FIRST_RESOURCES {}
1680703874297671 261314 TASK 27 WAITING default FIRST_RESOURCES {}
1680703874297696 261314 TASK 28 WAITING default FIRST_RESOURCES {}
1680703874297721 261314 TASK 29 WAITING default FIRST_RESOURCES {}
1680703874297747 261314 TASK 30 WAITING default FIRST_RESOURCES {}
1680703874297776 261314 TASK 31 WAITING default FIRST_RESOURCES {}
1680703874297801 261314 TASK 32 WAITING default FIRST_RESOURCES {}
1680703874297827 261314 TASK 33 WAITING default FIRST_RESOURCES {}
1680703874297853 261314 TASK 34 WAITING default FIRST_RESOURCES {}
1680703874297880 261314 TASK 35 WAITING default FIRST_RESOURCES {}
1680703874297904 261314 TASK 36 WAITING default FIRST_RESOURCES {}
1680703874297954 261314 TASK 37 WAITING default FIRST_RESOURCES {}
1680703874297976 261314 TASK 38 WAITING default FIRST_RESOURCES {}
1680703874297998 261314 TASK 39 WAITING default FIRST_RESOURCES {}
1680703874298019 261314 TASK 40 WAITING default FIRST_RESOURCES {}
1680703874298042 261314 TASK 41 WAITING default FIRST_RESOURCES {}
1680703874298066 261314 TASK 42 WAITING default FIRST_RESOURCES {}
1680703874298095 261314 TASK 43 WAITING default FIRST_RESOURCES {}
1680703874298127 261314 TASK 44 WAITING default FIRST_RESOURCES {}
1680703874298152 261314 TASK 45 WAITING default FIRST_RESOURCES {}
1680703874298176 261314 TASK 46 WAITING default FIRST_RESOURCES {}
1680703874298198 261314 TASK 47 WAITING default FIRST_RESOURCES {}
1680703874298221 261314 TASK 48 WAITING default FIRST_RESOURCES {}
1680703874298243 261314 TASK 49 WAITING default FIRST_RESOURCES {}
1680703874298265 261314 TASK 50 WAITING default FIRST_RESOURCES {}
1680703874298289 261314 TASK 51 WAITING default FIRST_RESOURCES {}
