# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1681342995085440 756266 MANAGER START
1681342995091625 756266 CATEGORY default MAX {}
1681342995091639 756266 CATEGORY default MIN {}
1681342995091646 756266 CATEGORY default FIRST MAX {}
1681342995094946 756266 TASK 1 WAITING default FIRST_RESOURCES {}
1681342995094980 756266 TASK 2 WAITING default FIRST_RESOURCES {}
1681342995095003 756266 TASK 3 WAITING default FIRST_RESOURCES {}
1681342995095026 756266 TASK 4 WAITING default FIRST_RESOURCES {}
1681342995095046 756266 TASK 5 WAITING default FIRST_RESOURCES {}
1681342995095067 756266 TASK 6 WAITING default FIRST_RESOURCES {}
1681342995095086 756266 TASK 7 WAITING default FIRST_RESOURCES {}
1681342995095106 756266 TASK 8 WAITING default FIRST_RESOURCES {}
1681342995095140 756266 TASK 9 WAITING default FIRST_RESOURCES {}
1681342995095160 756266 TASK 10 WAITING default FIRST_RESOURCES {}
1681342995095181 756266 TASK 11 WAITING default FIRST_RESOURCES {}
1681342995095200 756266 TASK 12 WAITING default FIRST_RESOURCES {}
1681342995095232 756266 TASK 13 WAITING default FIRST_RESOURCES {}
1681342995095253 756266 TASK 14 WAITING default FIRST_RESOURCES {}
1681342995095276 756266 TASK 15 WAITING default FIRST_RESOURCES {}
1681342995095295 756266 TASK 16 WAITING default FIRST_RESOURCES {}
1681342995095318 756266 TASK 17 WAITING default FIRST_RESOURCES {}
1681342995095359 756266 TASK 18 WAITING default FIRST_RESOURCES {}
1681342995095379 756266 TASK 19 WAITING default FIRST_RESOURCES {}
1681342995095398 756266 TASK 20 WAITING default FIRST_RESOURCES {}
1681342995095421 756266 TASK 21 WAITING default FIRST_RESOURCES {}
1681342995095443 756266 TASK 22 WAITING default FIRST_RESOURCES {}
1681342995095466 756266 TASK 23 WAITING default FIRST_RESOURCES {}
1681342995095485 756266 TASK 24 WAITING default FIRST_RESOURCES {}
1681342995095507 756266 TASK 25 WAITING default FIRST_RESOURCES {}
1681342995095530 756266 TASK 26 WAITING default FIRST_RESOURCES {}
1681342995095554 756266 TASK 27 WAITING default FIRST_RESOURCES {}
1681342995095574 756266 TASK 28 WAITING default FIRST_RESOURCES {}
1681342995095593 756266 TASK 29 WAITING default FIRST_RESOURCES {}
1681342995095612 756266 TASK 30 WAITING default FIRST_RESOURCES {}
1681342995095634 756266 TASK 31 WAITING default FIRST_RESOURCES {}
1681342995095664 756266 TASK 32 WAITING default FIRST_RESOURCES {}
1681342995095684 756266 TASK 33 WAITING default FIRST_RESOURCES {}
1681342995095706 756266 TASK 34 WAITING default FIRST_RESOURCES {}
1681342995095728 756266 TASK 35 WAITING default FIRST_RESOURCES {}
1681342995095750 756266 TASK 36 WAITING default FIRST_RESOURCES {}
1681342995095770 756266 TASK 37 WAITING default FIRST_RESOURCES {}
1681342995095804 756266 TASK 38 WAITING default FIRST_RESOURCES {}
1681342995095823 756266 TASK 39 WAITING default FIRST_RESOURCES {}
1681342995095842 756266 TASK 40 WAITING default FIRST_RESOURCES {}
1681342995095861 756266 TASK 41 WAITING default FIRST_RESOURCES {}
1681342995095883 756266 TASK 42 WAITING default FIRST_RESOURCES {}
1681342995095930 756266 TASK 43 WAITING default FIRST_RESOURCES {}
1681342995095988 756266 TASK 44 WAITING default FIRST_RESOURCES {}
1681342995096007 756266 TASK 45 WAITING default FIRST_RESOURCES {}
1681342995096028 756266 TASK 46 WAITING default FIRST_RESOURCES {}
1681342995096049 756266 TASK 47 WAITING default FIRST_RESOURCES {}
1681342995096068 756266 TASK 48 WAITING default FIRST_RESOURCES {}
1681342995096089 756266 TASK 49 WAITING default FIRST_RESOURCES {}
1681342995096108 756266 TASK 50 WAITING default FIRST_RESOURCES {}
1681342995096125 756266 TASK 51 WAITING default FIRST_RESOURCES {}
1681342995096147 756266 TASK 52 WAITING default FIRST_RESOURCES {}
1681342995096171 756266 TASK 53 WAITING default FIRST_RESOURCES {}
1681342995096190 756266 TASK 54 WAITING default FIRST_RESOURCES {}
1681342995096210 756266 TASK 55 WAITING default FIRST_RESOURCES {}
1681342995096231 756266 TASK 56 WAITING default FIRST_RESOURCES {}
1681342995096253 756266 TASK 57 WAITING default FIRST_RESOURCES {}
1681342995096271 756266 TASK 58 WAITING default FIRST_RESOURCES {}
1681342995096291 756266 TASK 59 WAITING default FIRST_RESOURCES {}
1681342995096313 756266 TASK 60 WAITING default FIRST_RESOURCES {}
1681342995096335 756266 TASK 61 WAITING default FIRST_RESOURCES {}
1681342995096370 756266 TASK 62 WAITING default FIRST_RESOURCES {}
1681342995096393 756266 TASK 63 WAITING default FIRST_RESOURCES {}
1681342995096416 756266 TASK 64 WAITING default FIRST_RESOURCES {}
1681342995096439 756266 TASK 65 WAITING default FIRST_RESOURCES {}
1681342995096459 756266 TASK 66 WAITING default FIRST_RESOURCES {}
1681342995096482 756266 TASK 67 WAITING default FIRST_RESOURCES {}
1681342995096504 756266 TASK 68 WAITING default FIRST_RESOURCES {}
1681342995096527 756266 TASK 69 WAITING default FIRST_RESOURCES {}
1681342995096546 756266 TASK 70 WAITING default FIRST_RESOURCES {}
1681342995096568 756266 TASK 71 WAITING default FIRST_RESOURCES {}
1681342995096588 756266 TASK 72 WAITING default FIRST_RESOURCES {}
1681342995096610 756266 TASK 73 WAITING default FIRST_RESOURCES {}
1681342995096643 756266 TASK 74 WAITING default FIRST_RESOURCES {}
1681342995096664 756266 TASK 75 WAITING default FIRST_RESOURCES {}
1681342995096684 756266 TASK 76 WAITING default FIRST_RESOURCES {}
1681342995096704 756266 TASK 77 WAITING default FIRST_RESOURCES {}
1681342995096721 756266 TASK 78 WAITING default FIRST_RESOURCES {}
1681342995096741 756266 TASK 79 WAITING default FIRST_RESOURCES {}
1681342995096761 756266 TASK 80 WAITING default FIRST_RESOURCES {}
1681342995096779 756266 TASK 81 WAITING default FIRST_RESOURCES {}
1681342995096798 756266 TASK 82 WAITING default FIRST_RESOURCES {}
1681342995096816 756266 TASK 83 WAITING default FIRST_RESOURCES {}
1681342995096836 756266 TASK 84 WAITING default FIRST_RESOURCES {}
1681342995096853 756266 TASK 85 WAITING default FIRST_RESOURCES {}
1681342995096878 756266 TASK 86 WAITING default FIRST_RESOURCES {}
1681342995096898 756266 TASK 87 WAITING default FIRST_RESOURCES {}
1681342995096918 756266 TASK 88 WAITING default FIRST_RESOURCES {}
1681342995096936 756266 TASK 89 WAITING default FIRST_RESOURCES {}
1681342995096956 756266 TASK 90 WAITING default FIRST_RESOURCES {}
1681342995096976 756266 TASK 91 WAITING default FIRST_RESOURCES {}
1681342995096996 756266 TASK 92 WAITING default FIRST_RESOURCES {}
1681342995097014 756266 TASK 93 WAITING default FIRST_RESOURCES {}
1681342995097030 756266 TASK 94 WAITING default FIRST_RESOURCES {}
1681342995097054 756266 TASK 95 WAITING default FIRST_RESOURCES {}
1681342995097076 756266 TASK 96 WAITING default FIRST_RESOURCES {}
1681342995097112 756266 TASK 97 WAITING default FIRST_RESOURCES {}
1681342995097134 756266 TASK 98 WAITING default FIRST_RESOURCES {}
1681342995097152 756266 TASK 99 WAITING default FIRST_RESOURCES {}
1681342995097171 756266 TASK 100 WAITING default FIRST_RESOURCES {}
1681342995097192 756266 TASK 101 WAITING default FIRST_RESOURCES {}
1681342995097209 756266 TASK 102 WAITING default FIRST_RESOURCES {}
1681342995097229 756266 TASK 103 WAITING default FIRST_RESOURCES {}
1681342995097250 756266 TASK 104 WAITING default FIRST_RESOURCES {}
1681342995097272 756266 TASK 105 WAITING default FIRST_RESOURCES {}
1681342995097292 756266 TASK 106 WAITING default FIRST_RESOURCES {}
1681342995097313 756266 TASK 107 WAITING default FIRST_RESOURCES {}
1681342995097353 756266 TASK 108 WAITING default FIRST_RESOURCES {}
1681342995097374 756266 TASK 109 WAITING default FIRST_RESOURCES {}
1681342995097397 756266 TASK 110 WAITING default FIRST_RESOURCES {}
1681342995097421 756266 TASK 111 WAITING default FIRST_RESOURCES {}
1681342995097443 756266 TASK 112 WAITING default FIRST_RESOURCES {}
1681342995097463 756266 TASK 113 WAITING default FIRST_RESOURCES {}
