# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680709913177778 298372 MANAGER START
1680709913188892 298372 CATEGORY default MAX {}
1680709913188908 298372 CATEGORY default MIN {}
1680709913188927 298372 CATEGORY default FIRST MAX_THROUGHPUT {}
1680709913189015 298372 TASK 1 WAITING default FIRST_RESOURCES {}
1680709913189047 298372 TASK 2 WAITING default FIRST_RESOURCES {}
1680709913189073 298372 TASK 3 WAITING default FIRST_RESOURCES {}
1680709913189097 298372 TASK 4 WAITING default FIRST_RESOURCES {}
1680709913189122 298372 TASK 5 WAITING default FIRST_RESOURCES {}
1680709913189148 298372 TASK 6 WAITING default FIRST_RESOURCES {}
1680709913189186 298372 TASK 7 WAITING default FIRST_RESOURCES {}
1680709913189208 298372 TASK 8 WAITING default FIRST_RESOURCES {}
1680709913189231 298372 TASK 9 WAITING default FIRST_RESOURCES {}
1680709913189256 298372 TASK 10 WAITING default FIRST_RESOURCES {}
1680709913189281 298372 TASK 11 WAITING default FIRST_RESOURCES {}
1680709913189304 298372 TASK 12 WAITING default FIRST_RESOURCES {}
1680709913189328 298372 TASK 13 WAITING default FIRST_RESOURCES {}
1680709913189352 298372 TASK 14 WAITING default FIRST_RESOURCES {}
1680709913189378 298372 TASK 15 WAITING default FIRST_RESOURCES {}
1680709913189400 298372 TASK 16 WAITING default FIRST_RESOURCES {}
1680709913189424 298372 TASK 17 WAITING default FIRST_RESOURCES {}
1680709913189446 298372 TASK 18 WAITING default FIRST_RESOURCES {}
1680709913189468 298372 TASK 19 WAITING default FIRST_RESOURCES {}
1680709913189490 298372 TASK 20 WAITING default FIRST_RESOURCES {}
1680709913189515 298372 TASK 21 WAITING default FIRST_RESOURCES {}
1680709913189541 298372 TASK 22 WAITING default FIRST_RESOURCES {}
1680709913189566 298372 TASK 23 WAITING default FIRST_RESOURCES {}
1680709913189589 298372 TASK 24 WAITING default FIRST_RESOURCES {}
1680709913189612 298372 TASK 25 WAITING default FIRST_RESOURCES {}
1680709913189657 298372 TASK 26 WAITING default FIRST_RESOURCES {}
1680709913189686 298372 TASK 27 WAITING default FIRST_RESOURCES {}
1680709913189711 298372 TASK 28 WAITING default FIRST_RESOURCES {}
1680709913189736 298372 TASK 29 WAITING default FIRST_RESOURCES {}
1680709913189761 298372 TASK 30 WAITING default FIRST_RESOURCES {}
1680709913189789 298372 TASK 31 WAITING default FIRST_RESOURCES {}
1680709913189813 298372 TASK 32 WAITING default FIRST_RESOURCES {}
1680709913189841 298372 TASK 33 WAITING default FIRST_RESOURCES {}
1680709913189869 298372 TASK 34 WAITING default FIRST_RESOURCES {}
1680709913189896 298372 TASK 35 WAITING default FIRST_RESOURCES {}
1680709913189933 298372 TASK 36 WAITING default FIRST_RESOURCES {}
1680709913189957 298372 TASK 37 WAITING default FIRST_RESOURCES {}
1680709913189981 298372 TASK 38 WAITING default FIRST_RESOURCES {}
1680709913190004 298372 TASK 39 WAITING default FIRST_RESOURCES {}
1680709913190025 298372 TASK 40 WAITING default FIRST_RESOURCES {}
1680709913190047 298372 TASK 41 WAITING default FIRST_RESOURCES {}
1680709913190071 298372 TASK 42 WAITING default FIRST_RESOURCES {}
1680709913190117 298372 TASK 43 WAITING default FIRST_RESOURCES {}
1680709913190147 298372 TASK 44 WAITING default FIRST_RESOURCES {}
1680709913190174 298372 TASK 45 WAITING default FIRST_RESOURCES {}
1680709913190203 298372 TASK 46 WAITING default FIRST_RESOURCES {}
1680709913190229 298372 TASK 47 WAITING default FIRST_RESOURCES {}
1680709913190252 298372 TASK 48 WAITING default FIRST_RESOURCES {}
1680709913190277 298372 TASK 49 WAITING default FIRST_RESOURCES {}
1680709913190301 298372 TASK 50 WAITING default FIRST_RESOURCES {}
1680709913190324 298372 TASK 51 WAITING default FIRST_RESOURCES {}
1680709913190351 298372 TASK 52 WAITING default FIRST_RESOURCES {}
1680709913190378 298372 TASK 53 WAITING default FIRST_RESOURCES {}
1680709913190401 298372 TASK 54 WAITING default FIRST_RESOURCES {}
