# time manager_pid MANAGER START|END
# time manager_pid WORKER worker_id host:port CONNECTION
# time manager_pid WORKER worker_id host:port DISCONNECTION (UNKNOWN|IDLE_OUT|FAST_ABORT|FAILURE|STATUS_WORKER|EXPLICIT
# time manager_pid WORKER worker_id RESOURCES {resources}
# time manager_pid CATEGORY name MAX {resources_max_per_task}
# time manager_pid CATEGORY name MIN {resources_min_per_task_per_worker}
# time manager_pid CATEGORY name FIRST (FIXED|MAX|MIN_WASTE|MAX_THROUGHPUT) {resources_requested}
# time manager_pid TASK taskid WAITING category_name (FIRST_RESOURCES|MAX_RESOURCES) {resources_requested}
# time manager_pid TASK taskid RUNNING worker_address (FIRST_RESOURCES|MAX_RESOURCES) {resources_allocated}
# time manager_pid TASK taskid WAITING_RETRIEVAL worker_address
# time manager_pid TASK taskid (RETRIEVED|DONE) (SUCCESS|SIGNAL|END_TIME|FORSAKEN|MAX_RETRIES|MAX_WALLTIME|UNKNOWN|RESOURCE_EXHAUSTION) exit_code {limits_exceeded} {resources_measured}
# time manager_pid TRANSFER (INPUT|OUTPUT) taskid cache_flag sizeinmb walltime filename

1680707793230712 273247 MANAGER START
1680707793235231 273247 CATEGORY default MAX {}
1680707793235245 273247 CATEGORY default MIN {}
1680707793235251 273247 CATEGORY default FIRST MIN_WASTE {}
1680707793235320 273247 TASK 1 WAITING default FIRST_RESOURCES {}
1680707793235352 273247 TASK 2 WAITING default FIRST_RESOURCES {}
1680707793235380 273247 TASK 3 WAITING default FIRST_RESOURCES {}
1680707793235405 273247 TASK 4 WAITING default FIRST_RESOURCES {}
1680707793235456 273247 TASK 5 WAITING default FIRST_RESOURCES {}
1680707793235495 273247 TASK 6 WAITING default FIRST_RESOURCES {}
1680707793235518 273247 TASK 7 WAITING default FIRST_RESOURCES {}
1680707793235542 273247 TASK 8 WAITING default FIRST_RESOURCES {}
1680707793235566 273247 TASK 9 WAITING default FIRST_RESOURCES {}
1680707793235592 273247 TASK 10 WAITING default FIRST_RESOURCES {}
1680707793235636 273247 TASK 11 WAITING default FIRST_RESOURCES {}
1680707793235664 273247 TASK 12 WAITING default FIRST_RESOURCES {}
1680707793235691 273247 TASK 13 WAITING default FIRST_RESOURCES {}
1680707793235717 273247 TASK 14 WAITING default FIRST_RESOURCES {}
1680707793235744 273247 TASK 15 WAITING default FIRST_RESOURCES {}
1680707793235769 273247 TASK 16 WAITING default FIRST_RESOURCES {}
1680707793235795 273247 TASK 17 WAITING default FIRST_RESOURCES {}
1680707793235819 273247 TASK 18 WAITING default FIRST_RESOURCES {}
1680707793235843 273247 TASK 19 WAITING default FIRST_RESOURCES {}
1680707793235869 273247 TASK 20 WAITING default FIRST_RESOURCES {}
1680707793235896 273247 TASK 21 WAITING default FIRST_RESOURCES {}
1680707793235936 273247 TASK 22 WAITING default FIRST_RESOURCES {}
1680707793235972 273247 TASK 23 WAITING default FIRST_RESOURCES {}
1680707793236005 273247 TASK 24 WAITING default FIRST_RESOURCES {}
